Nat.	Name	Since	Goals	Transfer fee
ESP	Valdés	1998	0	Youth system
ITA	Zambrotta	2006	3	€14M
MEX	Márquez	2003	6	€5M
ESP	Puyol ( captain )	1992	5	Youth system
NED	Gio	2003	5	Free
ESP	Iniesta	2002	13	Youth system
ESP	Xavi ( VC )	1994	20	Youth system
POR	Deco	2004	18	€15M
ARG	Messi	2004	25	Youth system
CMR	Eto'o	2004	73	€24M
BRA	Ronaldinho ( VC )	2003	80	€30M
ESP	Jorquera	2001	0	Youth system
BRA	Belletti	2004	1	€6M
FRA	Thuram	2006	0	€5M
ESP	Oleguer	2002	1	Youth system
BRA	Sylvinho	2004	2	€2M
ITA	Motta	2002	9	Youth system
BRA	Edmílson	2004	0	€10M
ISL	Gudjohnsen	2006	10	€12M
FRA	Giuly	2004	23	€7M
ESP	Ezquerro	2005	4	Free
ARG	Saviola	2001	68	loan
ESP	Rubén	2004	0	Youth system
