Rider	Horse	Faults	Round 1 Points	Total
Beezie Madden	Authentic	0	0.000	0.000
Eric Lamaze	Hickstead	0	0.390	0.390
Gerco Schröder	Eurocommerce Berlin	0	0.425	0.425
Bernardo Alves	Canturo	0	1.355	1.355
Edwina Alexander	Isovlas Pialotta	0	2.235	2.235
Jean-Claude Van Geenberghe	Osta Rugs Tresor	0	2.375	2.375
Albert Zoer	Okidoki	0	2.480	2.480
Ludger Beerbaum	L'Espoir	0	2.695	2.695
Ricardo Jurado	Procasa le Monde	0	3.270	3.270
Shane Breen	World Cruise	0	3.985	3.985
Jeroen Dubbeldam	BMC Up and Down	1	3.100	4.100
Luciana Diniz	Dover	0	4.160	4.160
Niklaus Schurtenberger	Cantus	1	3.635	4.635
McLain Ward	Sapphire	4	0.865	4.865
Meredith Michaels-Beerbaum	Shutterfly	1	3.920	4.920
Jos Lansink	Cavalor Cumano	0	5.005	5.005
Sergio Alvarez Moya	Le Rève du Nabab	4	1.235	5.235
Cassio Rivetti	Olona	4	1.390	5.390
Marie Burke	Chippison	4	1.710	5.710
Geir Gulliksen	Cattani	4	1.840	5.840
Ludo Philippaerts	Parco	4	2.045	6.045
Jürgen Krackow	Looping	4	2.415	6.415
Christina Liebherr	L.B. No Mercy	0	6.520	6.520
Michael Whitaker	Insul Tech Portofino	1	5.525	6.525
Samantha McIntosh	Loxley	5	2.015	7.015
Taizo Sugitani	Obelix	0	7.030	7.030
Royne Zetterman	Isaac	4	3.075	7.075
Marcus Ehning	Noltes Küchengirl	4	3.540	7.540
Björn Nagel	Pilgrim	1	7.025	8.025
Michel Robert	Galet d'Auzay	4	4.080	8.080
Katharina Offel	Atlanta	1	7.420	8.420
Nick Skelton	Russel	1	7.635	8.635
John Whitaker	Peppermill	5	3.680	8.680
Pablo Barrios	Sun God	5	3.905	8.905
Rolf-Göran Bengtsson	Ninja la Silla	4	4.910	8.910
Piet Raymakers	Van Schijndel's Curtis	5	4.045	9.045
Hervé Godignon	Obélix	4	5.400	9.400
Werner Muff	Plot Blue	5	4.725	9.725
Ibrahim Hani Kamal Bisharat	Qwinto	0	9.760	9.760
Gregory Wathelet	Loriot	8	1.760	9.760
Laurent Goffinet	Flipper d'Elle HN	9	0.900	9.900
Laura Kraut	Miss Independent	4	5.975	9.975
Roland Englbrecht	Nip Armani	4	6.220	10.220
Emilio Bicocchi	Jeckerson Kapitol d'Argonne	8	2.665	10.665
Tim Gredley	Omelli	5	5.690	10.690
Beat Mändli	Indigo IX	4	6.780	10.780
Christian Ahlmann	Cöster	8	4.000	12.000
Tina Lund	Carola	9	3.610	12.610
Max Amaya	Church Road	8	4.790	12.790
Álvaro Alfonso de Miranda Neto	Nike	9	4.235	13.235
Jesus Garmendia Echeverria	Maddock	8	5.335	13.335
Carlos Lopez	Instit	10	3.620	13.620
Juan Carlos García	Loro Piana Albin III	5	9.020	14.020
Cameron Hanley	Siec Hippica Kerman	9	5.375	14.375
Ricardo Kierkegaard	Rey Z	8	6.805	14.805
Jill Henselwood	Special Ed	9	6.165	15.165
Margie Engle	Hidden Creek's Quervo Gold	4	12.065	16.065
Judy-Ann Melchoir	Grande Dame Z	9	7.310	16.310
Maria Gretzer	Spender S	9	7.385	16.385
Billy Twomey	Luidam	9	7.615	16.615
Federico Fernandez	Bohemio	8	9.610	17.610
Jonella Ligresti	Quinta 27	6	12.365	18.365
Ian Millar	In Style	9	9.370	18.370
Mikael Forsten	BMC's Skybreaker	12	6.435	18.435
Sebastian Numminen	Sails Away	13	5.455	18.455
Stefan Eder	Cartier PSG	12	6.535	18.535
Dirk Demeersman	Clinton	16	2.755	18.755
Antonis Petris	Gredo la Daviere	13	6.300	19.300
Gunnar Klettenberg	Novesta	9	10.620	19.620
Syed Omar Almohdzar	Lui	10	9.820	19.820
Tony Andre Hansen	Camiro	13	7.245	20.245
Manuel Fernandez Saro	Quin Chin	13	7.465	20.465
James Wingrave	Agropoint Calira	14	6.855	20.855
Rod Brown	Mr. Burns	9	12.300	21.300
Jiri Papousek	La Manche T	13	8.440	21.440
Marcela Lobo	Joskin	14	7.600	21.600
Yuko Itakura	Portvliet	9	12.655	21.655
Zsolt Pirik	Havanna	9	13.050	22.050
Fabrice Lyon	Jasmine du Perron	11	12.760	23.760
Florian Angot	First de Launay	16	8.055	24.055
Peter McMahon	Kolora Stud Genoa	9	15.195	24.195
Giuseppe Rolli	Jericho de la Vie	17	7.910	24.910
Alberto Michan	Chinobampo Lavita	13	12.330	25.330
Hanno Ellermann	Poncorde	17	8.600	25.600
Antonio Portela Carneiro	Echo de Lessay	18	8.565	26.565
Gerfried Puck	11th Bleeker	21	6.405	27.405
H.H. Prince Faisal Al-Shalan	Uthago	18	10.205	28.205
