Rank	Rider	Team	Speed	Time
1	Derek Brien	600cc Kawasaki	118.027mph	1:16.43.30
2	Matts Nilsson	600cc Honda	116.361mph	1:17.42.20
3	Andrew Neill	600cc Honda	115.441mph	1:18.26.41
4	Phil McGurk	600cc Honda	114.824mph	1:18.51.70
5	Adam Barclay	600cc Suzuki	114.602mph	1:19.00.84
6	James McCullaugh	600cc Honda	114.076mph	1:19.22.71
7	Simon Fulton	600cc Honda	113.814mph	1:19.33.69
8	Michael Charnock	600cc Honda	113.549mph	1:19.46.50
9	Neal Champion	600cc Kawasaki	113.316mph	1:19.54.66
10	Ryan McCay	600cc Honda	113.160mph	1:20.01.29
