Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Yamaha	26	42:37.149	11
Casey Stoner	Ducati	26	+1.909	2
Nicky Hayden	Honda	26	+6.077	13
Dani Pedrosa	Honda	26	+10.465	9
John Hopkins	Suzuki	26	+13.138	5
Colin Edwards	Yamaha	26	+15.139	6
Alex Barros	Ducati	26	+36.075	12
Alex Hofmann	Ducati	26	+41.768	8
Anthony West	Kawasaki	26	+43.605	7
Marco Melandri	Honda	26	+43.796	4
Carlos Checa	Honda	26	+43.826	16
Shinya Nakano	Honda	26	+47.896	15
Makoto Tamada	Yamaha	26	+54.068	18
Sylvain Guintoli	Yamaha	26	+57.718	17
Kurtis Roberts	KR212V	26	+1:28.637	14
Chris Vermeulen	Suzuki	26	+1:34.808	1
Loris Capirossi	Ducati	17	Retirement	10
Randy de Puniet	Kawasaki	11	Retirement	3
