Ship	Built	Entered service	Route	Gross tonnage	Length	Width	Passengers	Vessels	Knots
MS Bastia	1974	1974	Santa Teresa di Gallura — Bonifacio	GT	75 m	13 m	400	100	18
MS Giraglia	1981	1981	Piombino - Cavo ( Elba Island )	GT	75 m	13 m	400	100	18
MS Moby Ale	1969	1990	Piombino — Portoferraio	GT	93 m	16 m	800	160	19,5
MS Moby Vincent	1974	1990	Livorno—Bastia	GT	120 m	22 m	1.600	570	17,5
MS Moby Fantasy	1976	1992	disarmed	GT	142 m	22 m	1.200	400	17
MS Moby Baby	1966	1996	Piombino—Portoferraio	GT	101 m	18 m	1.100	100	19
MS Moby Love	1975	1998	Piombino—Portoferraio	GT	115 m	19 m	1.200	250	21
MS Moby Lally	1974	2000	Piombino—Portoferraio	GT	119 m	19 m	1.150	300	17,5
MS Moby Drea	1975	2003	Livorno—Olbia Olbia — Genoa	GT	185 m	27 m	1.900	500	27
MS Moby Otta	1976	2006	Genoa—Olbia	GT	185 m	27 m	1.900	500	27
MS Moby Tommy	2002	2007	Civitavecchia —Olbia	GT	212 m	25 m	2.200	1.000	30
MS Moby Aki	2005	2005	Livorno — Olbia Piombino —Olbia	GT	175 m	27 m	2.200	750	29
MS Moby Wonder	2001	2001	Livorno—Olbia	GT	175 m	27 m	2.200	750	29
MS Moby Corse	1978	2010	Genoa — Bastia	GT	152 m	25 m	1.200	450	21
