Rank	Region	Total GDP (€ bn )	% growth	Per capita
1	Attica	€110.546	0.8	€29,100
2	Central Macedonia	€32.285	−1.3	€17,900
3	Thessaly	€11.608	−1.3	€17,000
4	Crete	€11.243	−1.6	€19,900
5	West Greece	€10.659	−3.6	€15,500
6	Central Greece	€10.537	−1.7	€20,500
7	Peloponnese	€9.809	−0.7	€17,900
8	East Macedonia and Thrace	€9.265	0.9	€16,500
9	South Aegean	€7.646	−2.8	€26,800
10	Epirus	€5.079	−0.2	€15,300
11	West Macedonia	€5.506	−1.9	€20,300
12	Ionian Islands	€4.130	−7.4	€19,100
13	North Aegean	€3.330	−3.3	€17,900
14	Mount Athos	N/A	N/A	N/A
–	Greece	€231.643	−0.5	€20,500
–	EU	€11,745.353	−5.8	€23,500
