Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
2012	Chou Tien-chen	Sashina Vignes Waran	Ruud Bosch Koen Ridder	Samantha Barning Eefje Muskens	Jorrit de Ruiter Samantha Barning
2011	Ville Lang	Linda Zechiri	Rasmus Bonde Anders Kristiansen	Eva Lee Paula Lynn Obanana	Sam Magee Chloe Magee
2010	Hans-Kristian Vittinghus	Olga Konon	Ingo Kindervater Johannes Schoettler	Lotte Jonathans Paulien van Dooremalen	Michael Fuchs Birgit Overzier
2009	Hans-Kristian Vittinghus	Juliane Schenk	Rasmus Bonde Simon Mollyhus	Helle Nielsen Marie Røpke	Marcus Ellis Heather Olver
2008	Ville Lang	Zhang Xi	Michael Fuchs Ingo Kindervater	Anastasia Russkikh Irina Hlebko	Michael Fuchs Annekatrin Lillie
2007	Marc Zwiebler	Juliane Schenk	Howard Bach Bob Malaythong	Anastasia Russkikh Ekaterina Ananina	Kristof Hopp Birgit Overzier
2006	Hans-Kristian Vittinghus	Sara Persson	Anton Nazarenko Andrey Ashmarin	Imogen Bankier Emma Mason	Imam Sodikin Irawan Elin Bergblom
2005	Eric Pang	Juliane Schenk	Vidre Wilbowo Imam Sodikin Irawan	Nicole Grether Juliane Schenk	Kristof Hopp Birgit Overzier
2004	Björn Joppien	Petra Overzier	Kristof Hopp Ingo Kindervater	Liza Parker Suzanne Rayappan	Frederik Bergström Johanna Persson
2003	Per-Henrik Croona	Tine Rasmussen	Lee Jae-jin Hwang Ji-man	Ha Jung-eun Oh Seul-ki	Lee Jae-jin Lee Eun-woo
2002	Kasperi Salo	Tine Rasmussen	Alexandr Nikolaenko Nikolaj Nikolaenko	Frida Andreasson Lina Uhac	Jörgen Olsson Frida Andreasson
2001	Irwansyah	Anu Weckstrom	Martin Delfs Jonas Glyager Jensen	Karina Sorensen Julie Houmann	Tommy Sorensen Karina Sorensen
