Category	Film	Director(s)	Country	Nominating Festival
Short Film 2002 Prix UIP	10 Minuta	Ahmed Imamovic	Bosnia and Herzegovina	Prix UIP Sarajevo
Short Film 2002 Prix UIP	Muno	Bouli Lanners	Belgium	Prix UIP Ghent
Short Film 2002 Prix UIP	Nouvelle De La Tour L	Samuel Benchetrit	France	Prix UIP Valladolid
Short Film 2002 Prix UIP	Relativity	Virginia Heath	United Kingdom	Prix UIP Berlin
Short Film 2002 Prix UIP	Nuit De Noces	Olga Baillif	Belgium , France	Prix UIP Angers
Short Film 2002 Prix UIP	Mi-Temps	Mathias Gokalp	France	Prix UIP Cracow
Short Film 2002 Prix UIP	Bror Min	Jens Jonsson	Sweden	Prix UIP Grimstad
Short Film 2002 Prix UIP	Ce Vieux Reve Qui Bouge	Alain Guiraudie	France	Prix UIP Vilo do Conde
Short Film 2002 Prix UIP	Kuvastin	Tatu Pohjavirta	Finland	Prix UIP Tampere
Short Film 2002 Prix UIP	Proctor	Joachim Trier	Norway , United Kingdom	Prix UIP Edinburgh
Short Film 2002 Prix UIP	Kalózok Szeretője	Zsófia Péterffy	Hungary	Prix UIP Venezia
Short Film 2002 Prix UIP	Velikan	Alexander Kott	Russia	Prix UIP Drama
