Name	Years	Gender	Area	Authority	Decile	Roll
Frasertown School	1–6	Coed	Frasertown	State	4	107
Kotemaori School	1–8	Coed	Kotemaori	State	4	6
Mohaka School	1–8	Coed	Mohaka	State	1	36
Nuhaka School	1–8	Coed	Nuhaka	State	2	123
Ohuka School	1–8	Coed	Ohuka	State	10	12
Putere School	1–8	Coed	Putere	State	2	12
Ruakituri School	1–8	Coed	Ruakituri	State	7	9
St Joseph's School	1–8	Coed	Wairoa	State integrated	3	122
Te Kura o Waikaremoana	1–8	Coed	Tuai	State	2	27
Te Mahia School	1–8	Coed	Mahia	State	1	48
Tiaho Primary School	1–6	Coed	Wairoa	State	2	150
TKKM o Ngati Kahungunu o Te Wairoa	1–8	Coed	Wairoa	State	1	61
Wairoa College	7–15	Coed	Wairoa	State	2	544
Wairoa Primary School	1–6	Coed	Wairoa	State	2	228
