Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Sporting de Gijón	38	47+9	18	11	9	62	35	+27
2	Cádiz CF	38	46+8	17	12	9	60	42	+18
3	Rayo Vallecano	38	45+7	17	11	10	46	34	+12
4	Real Jaén	38	43+5	15	13	10	42	32	+10
5	Real Oviedo	38	43+5	18	7	13	48	43	+5
6	CD Tenerife	38	40+2	15	10	13	48	48	0
7	Terrassa FC	38	40+2	13	14	11	44	34	+10
8	Deportivo Alavés	38	40+2	14	12	12	57	42	+15
9	Recreativo de Huelva	38	38	14	10	14	42	50	-8
10	Granada CF	38	36-2	14	8	16	42	39	+3
11	Deportivo de La Coruña	38	36-2	11	14	13	40	50	-10
12	Real Valladolid	38	36-2	14	8	16	57	56	+1
13	Getafe Deportivo	38	35-3	12	11	15	37	48	-11
14	CD Castellón	38	35-3	14	7	17	46	45	+1
15	Córdoba CF	38	35-3	10	15	13	39	45	-6
16	CF Calvo Sotelo	38	34-4	14	6	18	39	56	-17
17	Pontevedra CF	38	34-4	10	14	14	34	44	-10
18	Levante UD	38	34-4	12	10	16	47	61	-14
19	UE Sant Andreu	38	33-5	10	13	15	39	52	-13
20	Barcelona Atlètic	38	30-8	10	10	18	39	52	-13
