Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification	Intergiro classification	Trofeo Fast Team
1a	Moreno Argentin	Moreno Argentin	Moreno Argentin	not awarded	Francesco Casagrande	not awarded	Mecair-Ballan
1b	Maurizio Fondriest	Moreno Argentin	Moreno Argentin	not awarded	Eddy Seigneur	not awarded	Mecair-Ballan
2	Adriano Baffi	Moreno Argentin	Marco Saligari	Francesco Casagrande	Francesco Casagrande	not awarded	Mecair-Ballan
3	Piotr Ugrumov	Moreno Argentin	Marco Saligari	Francesco Casagrande	Francesco Casagrande	Stefano Colagè	Mecair-Ballan
4	Fabio Baldato	Moreno Argentin	Marco Saligari	Francesco Casagrande	Francesco Casagrande	Stefano Colagè	Mecair-Ballan
5	Dimitri Konyshev	Moreno Argentin	Marco Saligari	Francesco Casagrande	Francesco Casagrande	Ján Svorada	Carrera Jeans-Tassoni
6	Guido Bontempi	Moreno Argentin	Adriano Baffi	Francesco Casagrande	Francesco Casagrande	Ján Svorada	Carrera Jeans-Tassoni
7	Bjarne Riis	Moreno Argentin	Adriano Baffi	Francesco Casagrande	Francesco Casagrande	Ján Svorada	Ariostea
8	Adriano Baffi	Moreno Argentin	Adriano Baffi	Mariano Piccoli	Francesco Casagrande	Stefano Colagè	Ariostea
9	Giorgio Furlan	Moreno Argentin	Adriano Baffi	Mariano Piccoli	Francesco Casagrande	Stefano Colagè	Ariostea
10	Miguel Indurain	Miguel Indurain	Adriano Baffi	Mariano Piccoli	Francesco Casagrande	Stefano Colagè	Mecair-Ballan
11	Fabiano Fontanelli	Bruno Leali	Adriano Baffi	Mariano Piccoli	Francesco Casagrande	Stefano Colagè	Lampre-Polti
12	Dimitri Konyshev	Bruno Leali	Adriano Baffi	Mariano Piccoli	Pavel Tonkov	Stefano Colagè	Lampre-Polti
13	Moreno Argentin	Bruno Leali	Adriano Baffi	Mariano Piccoli	Pavel Tonkov	Ján Svorada	Lampre-Polti
14	Claudio Chiappucci	Miguel Indurain	Adriano Baffi	Claudio Chiappucci	Pavel Tonkov	Stefano Colagè	Carrera Jeans-Tassoni
15	Davide Cassani	Miguel Indurain	Adriano Baffi	Mariano Piccoli	Pavel Tonkov	Stefano Colagè	Carrera Jeans-Tassoni
16	Fabio Baldato	Miguel Indurain	Maurizio Fondriest	Mariano Piccoli	Pavel Tonkov	Stefano Colagè	Carrera Jeans-Tassoni
17	Marco Saligari	Miguel Indurain	Maurizio Fondriest	Mariano Piccoli	Pavel Tonkov	Ján Svorada	Carrera Jeans-Tassoni
18	Adriano Baffi	Miguel Indurain	Adriano Baffi	Claudio Chiappucci	Pavel Tonkov	Ján Svorada	Lampre-Polti
19	Miguel Indurain	Miguel Indurain	Adriano Baffi	Claudio Chiappucci	Pavel Tonkov	Ján Svorada	Lampre-Polti
20	Massimo Ghirotto	Miguel Indurain	Adriano Baffi	Claudio Chiappucci	Pavel Tonkov	Ján Svorada	Lampre-Polti
21	Fabio Baldato	Miguel Indurain	Adriano Baffi	Claudio Chiappucci	Pavel Tonkov	Ján Svorada	Lampre-Polti
Final	Final	Miguel Indurain	Adriano Baffi	Claudio Chiappucci	Pavel Tonkov	Ján Svorada	Lampre-Polti
