Year	Entrant	Chassis	Engine	Points
1979	Team Ensign	Ensign N179	Cosworth V8	0
1980	Team ATS	ATS D3	Cosworth V8	0
1980	Team ATS	ATS D4	Cosworth V8	0
1981	Ensign Racing	Ensign N180B	Cosworth V8	4
1981	Theodore Racing Team	Theodore TY01	Cosworth V8	4
1982	Arrows Racing Team	Arrows A4	Cosworth V8	3
1982	Arrows Racing Team	Arrows A5	Cosworth V8	3
1983	Arrows Racing Team	Arrows A6	Cosworth V8	4
1984	Barclay Nordica Arrows BMW	Arrows A6	Cosworth V8	1
1984	Barclay Nordica Arrows BMW	Arrows A7	BMW Str-4 t/c	1
1985	Motor Racing Developments Ltd.	Brabham BT54	BMW Str-4 t/c	5
1986	Barclay Arrows BMW	Arrows A8	BMW Str-4 t/c	0
