Year	Song title	Artist	Master recording?	Release date	Single / Pack
1983	" Bark at the Moon "	Ozzy Osbourne	No	Apr. 11, 2007	Guitar Hero Track Pack 1
2004	" Hey You "	Exies The Exies	No	Apr. 11, 2007	Guitar Hero Track Pack 1
1980	" Ace of Spades "	Motörhead	No	Apr. 11, 2007	Guitar Hero Track Pack 1
1974	" Killer Queen "	Queen	No	Apr. 11, 2007	Guitar Hero Track Pack 2
2002	"Take It Off"	Donnas The Donnas	No	Apr. 11, 2007	Guitar Hero Track Pack 2
1973	" Frankenstein "	Edgar Winter Group The Edgar Winter Group	No	Apr. 11, 2007	Guitar Hero Track Pack 2
1989	" Higher Ground "	Red Hot Chili Peppers	No	Apr. 11, 2007	Guitar Hero Track Pack 3
1994	" Infected "	Bad Religion	No	Apr. 11, 2007	Guitar Hero Track Pack 3
2000	" Stellar "	Incubus	No	Apr. 11, 2007	Guitar Hero Track Pack 3
1978	" I Wanna Be Sedated "	Ramones The Ramones	No	Jul. 11, 2007	Guitar Hero Track Pack 4
1972	" Smoke on the Water "	Deep Purple	No	Jul. 11, 2007	Guitar Hero Track Pack 4
1982	" You've Got Another Thing Comin' "	Judas Priest	No	Jul. 11, 2007	Guitar Hero Track Pack 4
2006	" Famous Last Words "	My Chemical Romance	Yes	Aug. 14, 2007	My Chemical Romance Pack
2006	" Teenagers "	My Chemical Romance	Yes	Aug. 14, 2007	My Chemical Romance Pack
2006	"This Is How I Disappear"	My Chemical Romance	Yes	Aug. 14, 2007	My Chemical Romance Pack
2006	"Detonation"	Trivium	Yes	Sep. 28, 2007	Guitar Hero Indie Label Pack I
2006	" Ex's and Oh's "	Atreyu	Yes	Sep. 28, 2007	Guitar Hero Indie Label Pack I
2005	"Bury the Hatchet"	Protest the Hero	Yes	Sep. 28, 2007	Guitar Hero Indie Label Pack I
1993	"Sin Documentos"	Rodriguez Los Rodríguez	Yes	Oct. 15, 2007	Single
2006	"Sept"	Pleymo	Yes	Oct. 15, 2007	Single
2007	"Exile"	Soilwork	Yes	Oct. 15, 2007	Single
2007	" The State of Massachusetts "	Dropkick Murphys	Yes	Nov. 29, 2007	Guitar Hero Indie Label Pack II
2007	"You Should Be Ashamed of Myself"	Bled The Bled	Yes	Nov. 29, 2007	Guitar Hero Indie Label Pack II
2007	"Memories of the Grove"	Maylene and the Sons of Disaster	Yes	Nov. 29, 2007	Guitar Hero Indie Label Pack II
