Date	Region	Label	Catalogue	Format
8/Nov/1980	UK	Bronze	BRON531	vinyl
8/Nov/1980	UK	Bronze	BRONG531	Gold vinyl
8/Nov/1980	Italy	Bronze	BROL 34531	vinyl
8/Nov/1980	Germany	Bronze	202 876-270	vinyl
8/Nov/1980	US	Mercury	SRM-1-4011	vinyl
1986	UK	GWR	GWLP6	vinyl
1986	UK	Legacy Records	LLMCD 3013	CD
1988	US	Profile Records	PCD-3243	CD
1988	US	Profile Records	PRO-3243	vinyl
1991	UK	Castle Communications, Castle Classics	CLACD 240	CD
1996	UK	Essential, Castle Music	ESM CD 312	CD
2003	Italy	Earmark	41003	Red vinyl
28/Jan/2003	UK	Silverline	2881339	DVD-Audio
2005	US	Sanctuary	06076-86408-2	2xCD
