Date	Opponent	Score	Loss	Attendance	Record
April 3	Yankees	2-15	Zito (0-1)	35,077	0-1
April 4	Yankees	4-3	Proctor (0-1)	31,284	1-1
April 5	Yankees	9-4	Wright (0-1)	30,165	2-1
April 6	@ Mariners	2-6	Loaiza (0-1)	22,701	2-2
April 7	@ Mariners	5-0	Hernández (0-1)	30,612	3-2
April 8	@ Mariners	3-0	Moyer (0-1)	37,904	4-2
April 9	@ Mariners	6-4	Piñeiro (1-1)	27,139	5-2
April 11	@ Twins	6-7	Haren (0-1)	48,911	5-3
April 12	@ Twins	5-6	Loaiza (0-2)	22,603	5-4
April 13	@ Twins	2-8	Blanton (1-1)	13,520	5-5
April 14	Rangers	3-6	Zito (1-2)	14,049	5-6
April 15	Rangers	5-4	Padilla (2-1)	16,186	6-6
April 16	Rangers	3-5	Street (1-1)	21,256	6-7
April 18	Tigers	4-3	Verlander (1-2)	16,857	7-7
April 19	Tigers	4-11	Blanton (1-2)	18,309	7-8
April 20	Tigers	3-4	Duchscherer (1-1)	15,489	7-9
April 21	Angels	5-3	Romero (1-2)	19,874	8-9
April 22	Angels	4-5	Haren (0-2)	22,670	8-10
April 23	Angels	3-4	Loaiza (0-3)	27,104	8-11
April 24	@ Rangers	3-2	Wilson (1-1)	23,802	9-11
April 25	@ Rangers	5-6	Gaudin (0-1)	25,492	9-12
April 26	@ Rangers	6-4 (10)	Wilson (1-2)	23,756	10-12
April 28	@ Royals	5-3	Mays (0-3)	12,203	11-12
April 29	@ Royals	Postponed (rain) Rescheduled for August 18	Postponed (rain) Rescheduled for August 18	Postponed (rain) Rescheduled for August 18	11-12
April 30	@ Royals	13-6	Hudson (0-3)	15,224	12-12
