Name	Gender	Area	Authority	Decile	Roll
Ascot Community School	Coed	Invercargill	State	3	195
Aurora College	Coed	Invercargill	State	2	349
Bluff Community School	Coed	Bluff	State	2	111
Donovan Primary School	Coed	Invercargill	State	5	290
Fernworth Primary School	Coed	Invercargill	State	2	390
Invercargill Middle School	Coed	Invercargill	State	3	148
James Hargest College	Coed	Invercargill	State	8	1992
Makarewa School	Coed	Makarewa	State	8	131
Myross Bush School	Coed	Invercargill	State	10	163
New River Primary	Coed	Kew	State	2	174
Newfield Park School	Coed	Invercargill	State	2	292
Otatara School	Coed	Otatara	State	10	288
Ruru Special School	Coed	Invercargill	State	4	67
Sacred Heart School	Coed	Waikiwi	State integrated	9	187
Salford School	Coed	Invercargill	State	9	231
Southland Adventist Christian School	Coed	Waikiwi	State integrated	4	47
Southland Boys' High School	Boys	Invercargill	State	5	1028
Southland Girls' High School	Girls	Invercargill	State	5	1171
St John's Girls' School	Girls	Invercargill	State integrated	8	125
St Joseph's School	Coed	Invercargill	State integrated	3	79
St Patrick's School	Coed	Georgetown	State integrated	3	247
St Teresa's School	Coed	Bluff	State integrated	3	34
St Theresa's School	Coed	Invercargill	State integrated	8	286
Te Wharekura o Arowhenua	Coed	Invercargill	State	2	85
Tisbury School	Coed	Invercargill	State	4	108
Verdon College	Coed	Invercargill	State integrated	5	575
Waihopai School	Coed	Invercargill	State	9	318
Waverley Park School	Coed	Invercargill	State	5	235
Windsor North School	Coed	Windsor	State	8	279
