Track	Recorded	Catalogue	Release Date	Chart Peak	Song Title	Writer(s)	Time
1.	3/20/60	LSP 2231	4/8/60	#2	Make Me Know It	Otis Blackwell	2:31
2.	3/20/60	LSP 2231	4/8/60	#2	Soldier Boy	David Jones and Theodore Williams Jr.	1:55
3.	3/20/60	47-7740	3/23/60	#1	Stuck on You	Aaron Schroeder and S. Leslie McFarland	2:18
4.	3/20/60	47-7740b	3/23/60	#17	Fame and Fortune	Fred Wise and Ben Weisman	2:30
5.	3/20/60	47-7777b	7/5/60	#32	A Mess of Blues	Doc Pomus and Mort Shuman	2:39
6.	3/20/60	LSP 2231	4/8/60	#2	It Feels So Right	Fred Wise and Ben Weisman	2:31
7.	4/3/60	LSP 2231	4/8/60	#2	Fever	John Davenport and Eddie Cooley	2:58
8.	4/3/60	LSP 2231	4/8/60	#2	Like A Baby	Jesse Stone	2:24
9.	4/3/60	47-7777	7/5/60	#1	It's Now or Never	Eduardo di Capua , Aaron Schroeder , Wally Gold	3:15
10.	4/3/60	LSP 2231	4/8/60	#2	The Girl of My Best Friend	Beverly Ross and Sam Bobrick	2:21
11.	4/3/60	LSP 2231	4/8/60	#2	Dirty Dirty Feeling	Jerry Leiber and Mike Stoller	2:12
12.	4/3/60	LSP 2231	4/8/60	#2	Thrill of Your Love	Stan Kesler	2:38
13.	4/3/60	47-7810b	11/1/60	#20	I Gotta Know	Paul Evans and Matt Williams	2:15
14.	4/3/60	LSP 2231	4/8/60	#2	Such A Night	Lincoln Chase	2:15
15.	4/3/60	47-7810	11/1/60	#1	Are You Lonesome Tonight?	Lou Handman and Roy Turk	3:05
16.	4/3/60	LSP 2231	4/8/60	#2	Girl Next Door Went A-Walking	Bill Rise and Thomas Wayne	2:24
17.	4/3/60	LSP 2231	4/8/60	#2	I Will Be Home Again	Bennie Benjamin , Raymond Leveen , Lou Singer	2:28
18.	4/3/60	LSP 2231	4/8/60	#2	Reconsider Baby	Lowell Fulson	2:31
19.	10/30/60	47-7850	2/7/61	#1	Surrender	Doc Pomus and Mort Shuman	1:51
20.	3/12/61	LSP 2370	6/17/61	#1	I'm Comin' Home	Charlie Rich	2:20
21.	3/12/61	LSP 2370	6/17/61	#1	Gently	Murray Wisell and Edward Lisbona	2:15
22.	3/12/61	LSP 2370	6/17/61	#1	In Your Arms	Aaron Schroeder and Wally Gold	1:50
23.	3/12/61	LSP 2370	6/17/61	#1	Give Me the Right	Fred Wise and Norman Blagman	2:32
24.	3/12/61	47-7880	5/2/61	#5	I Feel So Bad	Chuck Willis	2:53
25.	3/12/61	LSP 2370	6/17/61	#1	It's A Sin	Fred Rose and Zeb Turner	2:39
26.	3/12/61	LSP 2370	6/17/61	#1	I Want You With Me	Woody Harris	2:13
27.	3/12/61	LSP 2370	6/17/61	#1	There's Always Me	Don Robertson	2:16
