Player	Games	Tries	Goals	F. Goals	Points
Burt, Luke Luke Burt	16 16	09 9	59 59/70	0 0	154 154
Inu, Krisnan Krisnan Inu	20 20	12 12	37 37/45	0 0	122 122
Hayne, Jarryd Jarryd Hayne	25 25	12 12	0 0/1	0 0	048 48
Grothe, Jr., Eric Eric Grothe, Jr.	23 23	11 11	0 0	0 0	044 44
Mateo, Feleti Feleti Mateo	25 25	09 9	0 0	0 0	036 36
Smith, Ben Ben Smith	23 23	08 8	0 0	0 0	032 32
Hindmarsh, Nathan Nathan Hindmarsh	22 22	07 7	0 0	0 0	028 28
Tahu, Timana Timana Tahu	18 18	07 7	0 0/1	0 0	028 28
Riddell, Mark Mark Riddell	23 23	05 5	0 0/1	0 0	020 20
Hindmarsh, Ian Ian Hindmarsh	24 24	04 4	0 0/1	1 1	017 17
Smith, Tim Tim Smith	27 27	03 3	1 1/1	0 0	014 14
Cayless, Nathan Nathan Cayless	22 22	03 3	0 0	0 0	012 12
Reddy, Joel Joel Reddy	10 10	03 3	0 0	0 0	012 12
Wagon, Daniel Daniel Wagon	22 22	03 3	0 0	0 0	012 12
Finch, Brett Brett Finch	25 25	02 2	0 0	1 1	009 9
Marsh, PJ PJ Marsh	27 27	02 2	0 0	0 0	008 8
Robinson, Chad Chad Robinson	20 20	02 2	0 0	0 0	008 8
Cannings, Aaron Aaron Cannings	21 21	01 1	0 0	0 0	004 4
Cordoba, Josh Josh Cordoba	25 25	01 1	0 0	0 0	004 4
Moimoi, Fuifui Fuifui Moimoi	21 21	01 1	0 0	0 0	004 4
Taia, Zeb Zeb Taia	03 3	01 1	0 0	0 0	004 4
Green, Blake Blake Green	06 6	0 0	0 0	0 0	0 0
Hauraki, Weller Weller Hauraki	05 5	0 0	0 0	0 0	0 0
Paulo, Junior Junior Paulo	03 3	0 0	0 0	0 0	0 0
Lowrie, Todd Todd Lowrie	02 2	0 0	0 0	0 0	0 0
Fa'aoso, Richard Richard Fa'aoso	01 1	? 4	0 0	0 0	0 0
