Name	Country	Status	Transfer window	Transfer fee	Source
Kelly	IRE	Retired	Summer	n/a	Leeds United
Moore	ENG	Released	Summer	n/a	BBC Sport
Crainey	SCO	Released	Summer	n/a	BBC Sport
Sullivan	SCO	Released	Summer	n/a	BBC Sport
Hird	ENG	Released	Summer	n/a	BBC Sport
Foxe	AUS	Released	Summer	n/a	Sky Sports
Elliott	ENG	Released	Summer	n/a	Sky Sports
Nicholls	ENG	Transferred	Summer	Undisclosed	Sky Sports
Healy	ENG	Transferred	Summer	£1.5m	BBC Sport
Blake	ENG	Transferred	Summer	£250k	BBC Sport
Gordon	ENG	Transferred	Summer	£375k	Vital Football
Rose	ENG	Transferred	Summer	£1.0m	Leeds United Tottenham Hotspur
Cresswell	ENG	Transferred	Summer	£500k 1	BBC Sport
Lewis	USA	Transferred	Summer	Undisclosed	BBC Sport
Einarsson	ISL	Released	Summer	n/a	Leeds United
Derry	ENG	Transferred	Winter	£200k	Leeds United
Flo	NOR	Retired 2	Winter	n/a	Leeds United
Rothery	ENG	Released	Winter	n/a	Leeds United
Madden	IRE	Released	Winter	n/a	Leeds United
da Costa	POR	Released	Winter	n/a	Leeds United
Heath	ENG	Transferred	Winter	Free	Leeds United
