Call sign	Frequency	City of license	Facility ID	ERP / Power W	Height m ( ft )	Class	FCC info
WAUA	89.5 FM	Petersburg	71659	10,000	m (ft)	B	FCC
WVDM	88.5 FM	Bluefield	173309	50,000	m (ft)	B	FCC
WVEP	88.9 FM	Martinsburg	70643	3,600	m (ft)	B	FCC
WVNP	89.9 FM	Wheeling	71658	25,000	m (ft)	B	FCC
WVPB	91.7 FM	Beckley	71689	10,400	m (ft)	B	FCC
WVPG	90.3 FM	Parkersburg	70642	9,000	m (ft)	B1	FCC
WVPM	90.9 FM	Morgantown	70645	5,000	m (ft)	B	FCC
WVPN	88.5 FM	Charleston	70604	44,000	m (ft)	B	FCC
WVPW	88.9 FM	Buckhannon	71687	14,000	m (ft)	B	FCC
WVWV	89.9 FM	Huntington	71656	8,100	m (ft)	B	FCC
WWHA	89.3 FM	Webster Springs	176879	850	m (ft)	A	FCC
