Date	City	Event	Winner	Prize
2–7 August 2011	Tallinn	EPT Tallinn	Ronny Kaiser	€275,000
27 Aug–1 Sep 2011	Barcelona	EPT Barcelona	Martin Schleich	€850,000
30 Sep–6 Oct 2011	London	EPT London	Benny Spindler	£750,000
21–27 October 2011	Sanremo	EPT Sanremo	Andrey Pateychuk	€800,000
15–20 November 2011	Loutraki	EPT Loutraki	Zimnan Ziyard	€347,000
5–10 December 2011	Prague	EPT Prague	Martin Finger	€720,000
5–15 January 2012	Paradise Island	2012 PokerStars Caribbean Adventure	John Dibella	$1,775,000
31 Jan–6 Feb 2012	Deauville	EPT Deauville	Vadzim Kursevich	€875,000
20–25 February 2012	Copenhagen	EPT Copenhagen	Mickey Petersen	DKK 2,515,000
12–17 March 2012	Madrid	EPT Madrid	Frederik Jensen	€435,000
26–31 March 2012	Campione	EPT Campione	Jannick Wrang	€640,000
16–21 April 2012	Berlin	EPT Berlin	Davidi Kitai	€712,000
25–30 April 2012	Monte Carlo	EPT Monte Carlo Grand Final	Mohsin Charania	€1,350,000
