Country	Film title used in nomination	Language	Original name	Director
Argentina	The Island	Spanish	La Isla	Alejandro Doria
Austria	Tales from the Vienna Woods	German	Geschichten aus dem Wienerwald	Maximilian Schell
Belgium	Woman in a Twilight Garden	Dutch	Een vrouw tussen hond en wolf	André Delvaux
Bulgaria	The Barrier	Bulgarian	Бариерата	Christo Christov
Canada	A Scream from Silence	French	Mourir à tue-tête	Anne Claire Poirier
China	Effendi	Chinese	阿凡提	Lang Xiao
Czechoslovakia	Those Wonderful Men With A Crank	Czech	Báječní muži s klikou	Jiří Menzel
Denmark	Johnny Larsen	Danish	Johnny Larsen	Morten Arnfred
Egypt	Alexandria... Why?	Arabic	إسكندرية... ليه؟	Youssef Chahine
France	A Simple Story	French	Une histoire simple	Claude Sautet
West Germany	The Tin Drum	German	Die Blechtrommel	Volker Schlöndorff
Hong Kong	Raining in the Mountain	Chinese	空山灵雨	King Hu
Hungary	Angi Vera	Hungarian	Angi Vera	Pál Gábor
Israel	Moments	Hebrew, French	רגעים	Michal Bat-Adam
Italy	To Forget Venice	Italian	Dimenticare Venezia	Franco Brusati
Japan	Gassan	Japanese	月山	Tetsutaro Murano
Netherlands	A Woman Like Eve	Dutch	Een Vrouw als Eva	Nouchka van Brakel
Poland	The Maids of Wilko	Polish	Panny z Wilka	Andrzej Wajda
Spain	Mama Turns A Hundred	Spanish	Mamá cumple cien años	Carlos Saura
Sweden	A Respectable Life	Swedish	Ett Anständigt liv	Stefan Jarl
Switzerland	Les petites fugues	French	Les petites fugues	Yves Yersin
Soviet Union	Autumn Marathon	Russian	Осенний марафон	Georgiy Daneliya
Yugoslavia	The Man to Destroy	Serbo-Croatian	Čovjek koga treba ubiti	Veljko Bulajić
