Club	Australian Marquee	International Marquee	Junior Marquee player	Captain	Vice-Captain
Adelaide United	None	None	None	Eugene Galeković	Cássio
Brisbane Roar	Matt McKay	Thomas Broich	None	Matt Smith	Shane Stefanutto
Central Coast Mariners	None	None	None	John Hutchinson	Michael McGlinchey
Melbourne Heart	None	Orlando Engelaar	None	Harry Kewell	TBA
Melbourne Victory	Archie Thompson	Pablo Contreras	None	Mark Milligan	Leigh Broxham
Newcastle Jets	None	Emile Heskey	None	Ruben Zadkovich	TBA
Perth Glory	None	William Gallas	None	Jacob Burns	Travis Dodd
Sydney FC	Brett Emerton	Alessandro Del Piero	None	Alessandro Del Piero	Brett Emerton
Wellington Phoenix	None	None	None	Andrew Durante	Ben Sigmund
Western Sydney Wanderers	None	Shinji Ono	None	Michael Beauchamp	Nikolai Topor-Stanley
