Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jul 30, 1995	Ameritech Senior Open	–22 (66-63-66=195)	8 strokes	Kermit Zarley
Oct 1, 1995	Vantage Championship	–17 (66-68-65=199)	4 strokes	Dave Stockton
Feb 25, 1996	American Express Invitational	–19 (66-67-64=197)	5 stroke	Bob Murphy
Apr 21, 1996	PGA Seniors' Championship	–8 (66-74-69-71=280)	2 strokes	Isao Aoki
Jan 19, 1997	MasterCard Championship	–9 (71-67-69=207)	2 strokes	Gil Morgan
Feb 9, 1997	LG Championship	–15 (70-66-65=201)	1 stroke	Bob Murphy
Apr 20, 1997	PGA Seniors' Championship	–14 (69-65-72-68=274)	12 strokes	Dale Douglass , Jack Nicklaus
Apr 27, 1997	Las Vegas Senior Classic	–6 (70-65-72=207)	1 stroke	Isao Aoki
Jul 20, 1997	Burnet Senior Classic	–17 (65-68-66=199)	2 strokes	Lee Trevino
Aug 3, 1997	BankBoston Classic	–13 (70-65-65=200)	2 strokes	Jerry McGee , Bob Wynn
Sep 14, 1997	Boone Valley Classic	–16 (70-65-65=200)	2 strokes	Gil Morgan
Oct 5, 1997	Vantage Championship	–18 (64-62-69=195)	1 stroke	Dave Eichelberger
Oct 19 1997	Hyatt Regency Maui Kaanapali Classic	–13 (67-63-70=200)	3 strokes	Mike Hill , Bruce Summerhays
Mar 15, 1998	Toshiba Senior Classic	–13 (70-68-62=200)	1 stroke	Hubert Green
Apr 19, 1998	PGA Seniors' Championship	–13 (68-68-69-70=275)	6 strokes	Larry Nelson
Apr 26, 1998	Las Vegas Senior Classic	–7 (69-67-70-75=281)	1 stroke	Vicente Fernandez
Jul 19, 1998	Ameritech Senior Open	–15 (62-66-73=201)	3 strokes	Larry Nelson
Jul 26, 1998	U.S. Senior Open	+1 (77-68-71-69=285)	1 stroke	Vicente Fernandez
Aug 30, 1998	BankBoston Classic	–15 (69-64-68=201)	2 strokes	Jay Sigel
Nov 8, 1998	Energizer Senior Tour Championship	–14 (66-73-70-65=274)	5 strokes	Gil Morgan
May 9, 1999	Nationwide Championship	–10 (69-68-69=206)	1 stroke	Bob Murphy
May 30, 1999	Boone Valley Classic	–13 (68-69-66=203)	2 strokes	Al Geiberger
Jun 27, 1999	Ford Senior Players Championship	–21 (67-71-64-65=267)	7 strokes	Graham Marsh
Jul 18, 1999	Ameritech Senior Open	–10 (73-66-67=206)	1 stroke	Bruce Fleisher , Raymond Floyd , Gary McCord
Jul 25, 1999	Coldwell Banker Burnet Classic	–15 (64-68-69=201)	2 strokes	Jim Dent , Dale Douglass
May 14, 2000	Nationwide Championship	–9 (71-67-69=207)	1 stroke	Vicente Fernandez
Jun 4, 2000	BellSouth Senior Classic at Opryland	–18 (68-65-65=198)	1 stroke	Gil Morgan
Jul 2, 2000	U.S. Senior Open	–17 (66-71-65-65=267)	3 strokes	Bruce Fleisher
Oct 22, 2000	EMC Kaanapali Classic	–18 (71-62-65=198)	4 strokes	Joe Inman
Mar 18, 2001	Siebel Classic in Silicon Valley	–10 (71-70-65=206)	5 strokes	Allen Doyle , Tom Watson
Apr 28, 2001	Bruno's Memorial Classic	–21 (65-65-65=195)	4 strokes	Stewart Ginn
Oct 7 2001	Turtle Bay Championship	–11 (69-68-68=205)	3 strokes	John Jacobs
Feb 10, 2002	ACE Group Classic	–16 (68-64-68=200)	1 stroke	Tom Watson
Mar 10, 2002	Toshiba Senior Classic	–17 (67-64-65=196)	5 strokes	Allen Doyle
Aug 11, 2002	3M Championship	–12 (66-70-68=204)	3 strokes	Hubert Green
Oct 6, 2002	Turtle Bay Championship	–8 (69-69-70=208)	Playoff	Gary McCord
May 19, 2003	Kinko's Classic of Austin	–8 (69-66-73=208)	Playoff	Tom Watson
Oct 12, 2003	Turtle Bay Championship	–8 (68-73-67=208)	2 strokes	Tom Kite
Apr 25, 2004	Liberty Mutual Legends of Golf	–11 (66-68-71=205)	1 stroke	Gary Koch , Gil Morgan
May 30, 2004	Senior PGA Championship	–8 (67-69-69-71=276)	1 stroke	Jay Haas
Jan 30, 2005	Turtle Bay Championship	–16 (67-66-67=200)	5 strokes	Dana Quigley
Feb 27, 2005	Outback Steakhouse Pro-Am	–8 (72-69-68-67=276)	1 stroke	Morris Hatalsky , Mark McNulty
Sep 4, 2005	The First Tee Open at Pebble Beach	–13 (66-69-68=203)	1 stroke	Morris Hatalsky , Gil Morgan , Craig Stadler
Oct 2, 2005	SAS Championship	–13 (69-68-66=203)	2 strokes	Bob Gilder , Tom Jenkins
Jan 21, 2007	MasterCard Championship at Hualalai	–23 (66-62-65=193)	5 strokes	Tom Kite
