Name	Type	Elevation (m)	Elevation (ft)	Last eruption ( VEI )
Mount Baker	Stratovolcano	3,286	10,781	1880 (2)
Glacier Peak	Stratovolcano	3,213	10,541	1700 ± 100 years (2)
Mount Rainier	Stratovolcano	4,392	14,411	1894 (1?)
Goat Rocks	Stratovolcano	2,494	8,184	730,000 BP
Mount Adams	Stratovolcano	3,742	12,277	950 AD? (2)
Mount St. Helens	Stratovolcano	2,549	8,363	2008 (2)
Indian Heaven	es Shield volcano	1,806	5,925	6250 BC ± 100 years
Silver Star Mountain	es Shield volcano ?	1,330	4,364	20 million years ago
West Crater	Volcanic field	1,329	4,360	5750 BC? (2?)
Trout Creek Hill	Shield volcano	893	2,930	340,000 BP
