Year	Place	Gold	Silver	Bronze
1989	Montecatini Terme	Roberta Morara ( ITA )	Roberta Pelosi ( ITA )	Anna Maria Bianchi ( ITA )
1990	Moscow	Satu Pusila ( FIN )	Elena Shishirina ( URS )	Audrey Grosch ( USA )
1991	Perth	Satu Pusila ( FIN )	Elena Tkach ( URS )	Deena Julin ( USA )
1993	Barcelona	Frances Strodtman ( USA )	Deena Julin ( USA )	Anna Maria Di Giovanni ( ITA )
1994	Fagnano	Satu Pusila ( FIN )	Elena Shishirina ( RUS )	Svetlana Demina ( RUS )
1995	Nicosia	Deborah Gelisio ( ITA )	Gema Usieto ( ESP )	Xiang Xu ( CHN )
1997	Lima	Deborah Gelisio ( ITA )	Cynthia Meyer ( CAN )	Riitta-Mari Murtoniemi ( FIN )
1998	Barcelona	Deborah Gelisio ( ITA )	Kimberly Rhode ( USA )	Cindy Gentry ( USA )
1999	Tampere	Pia Julin ( FIN )	Pia Hansen ( SWE )	Yoshiko Miura ( JPN )
2001	Cairo	Yafei Zhang ( CHN )	Yi Chun Lin ( TPE )	Qingnian Li ( CHN )
2002	Lahti	Yi Chun Lin ( TPE )	Jing Lin Wang ( CHN )	Hye Kyoung Son ( KOR )
2003	Nicosia	María Quintanal ( ESP )	Fang Chen ( CHN )	Jing Lin Wang ( CHN )
2005	Lonato	Jing Lin Wang ( CHN )	Qingnian Li ( CHN )	Monica Girotto ( ITA )
2006	Zagreb	Hye Kyoung Son ( KOR )	Yuxiang Li ( CHN )	Bo Na Lee ( KOR )
