Date	Tournament	Surface	Opponent in the final	Score
August 14, 1994	Carthage	Clay	Anne-Gaëlle Sidot	5–7 6–3 6–4
March 26, 1995	Moulins	Hard Indoors	Linda Sentis	3–6 6–3 6–2
November 26, 1995	Le Havre	Clay Indoors	Émilie Loit	0–6 6–3 6–4
February 4, 1996	Dinan	Clay Indoors	Virginie Massart	6–4 7–6
August 11, 1996	Carthage	Clay	Marielle Bruens	7–5 6–4
December 14, 1997	Ismailia	Clay	Tzipora Obziler	5–7 7–5 6–4
April 30, 2000	Bournemouth	Clay	Dragana Zarić	7–5 6–2
September 22, 2002	Glasgow	Hard Indoors	Anne Keothavong	7–6 2–6 7–6
November 3, 2002	Nottingham	Hard Indoors	Lilia Osterloh	6–2 6–2
May 14, 2006	Jounieh	Clay	Anastasiya Yakimova	6–4 7–5
May 13, 2007	Jounieh	Clay	Mariya Koryttseva	6–2 4–6 7–6
