Borough or Census Area	Per capita income	Median household income	Median family income	Population	Number of households
Denali	$42,245	$72,500	$81,500	1,826	806
Skagway	$35,536	$73,500	$87,361	968	436
Juneau	$34,923	$75,517	$88,536	31,275	12,187
Anchorage	$34,678	$73,004	$85,023	291,826	107,332
Bristol Bay	$31,260	$84,000	$92,308	997	423
Petersburg	$30,971	$62,317	$76,063	3,815	1,599
Alaska	$30,726	$66,521	$77,886	710,231	258,058
Valdez-Cordova	$30,703	$60,383	$76,625	9,636	3,966
Fairbanks North Star	$30,395	$66,598	$79,913	97,581	36,441
Sitka	$29,982	$62,024	$70,875	8,881	3,545
Aleutians West	$29,920	$72,917	$81,875	5,561	1,212
Ketchikan Gateway	$29,520	$61,695	$78,440	13,477	5,305
Kenai Peninsula	$29,127	$57,454	$71,278	55,400	22,161
Wrangell	$28,731	$50,389	$53,688	2,369	1,053
Yakutat	$28,576	$65,750	$90,833	662	270
Haines	$27,979	$47,981	$69,821	2,508	1,149
Matanuska-Susitna	$27,910	$67,703	$76,247	88,995	31,824
Southeast Fairbanks	$27,657	$59,596	$63,125	7,029	2,567
United States	$27,334	$51,914	$62,982	308,745,538	116,716,292
Kodiak Island	$26,413	$60,776	$65,605	13,592	4,630
Hoonah-Angoon	$24,932	$43,750	$50,257	2,150	913
Prince of Wales-Hyder	$24,193	$45,728	$51,000	5,559	2,194
Dillingham	$22,597	$60,800	$64,113	4,847	1,563
Aleutians East	$22,279	$54,375	$61,250	3,141	553
North Slope	$22,109	$68,517	$70,650	9,430	2,029
Northwest Arctic	$21,278	$55,217	$52,807	7,523	1,919
Nome	$20,549	$53,899	$52,694	9,492	2,815
Yukon-Koyukuk	$18,614	$33,712	$45,000	5,588	2,217
Bethel	$18,584	$52,214	$55,402	17,013	4,651
Lake and Peninsula	$15,161	$40,909	$47,266	1,631	553
Wade Hampton	$11,269	$37,955	$37,284	7,459	1,745
