Call sign	Frequency	City of License	Owner	Format
KAER	0 89.5 FM	St. George	Educational Media Foundation	Contemporary Christian music
KSGU	0 90.3 FM	St. George	Nevada Public Radio	Public radio
KXBN	0 92.1 FM	St. George	Cherry Creek Radio	Contemporary Hit Radio
KXLI	0 94.5 FM	Moapa, Nevada	Radio Activo Broadcasting	Spanish
KCIN	0 94.9 FM	St. George	Cherry Creek Radio	Country music
KZHK	0 95.9 FM	St. George	Canyon Media	Classic rock
KYLI	0 96.7 FM	Bunkerville, Nevada	Aurora Media	Dance Top 40
KRQX	0 98.9 FM	Hurricane /St. George	Simmons Media	Alternative rock
KONY	0 99.9 FM	Cedar City	Canyon Media	Country music
KFUR-LP	0 101.1 FM	St. George	Latinos Unidos Broadcasting	Regional Mexican
K272AQ	0 102.3 FM	St. George	Cherry Creek Radio	Oldies
KURR	0 103.1 FM	Hurricane /St. George	Simmons Media	Top 40
KPLD	0 105.1 FM	Kanab	Canyon Media	Hot adult contemporary
KWBR-LP	0 105.7 FM	St. George	Association of Community Resources and News	Smooth Jazz
KIYK	0 107.3 FM	St. George	Cherry Creek Radio	Hot adult contemporary
KDXU	0 890 AM	St. George	Cherry Creek Radio	Talk radio
KOBY	0 940 AM	Cedar City	Radio 940	Oldies
KHKR	0 1210 AM	St. George	Cherry Creek Radio	Sports radio
KZNU	0 1450 AM	St. George	Canyon Media	Talk radio
