Rank	Island's Name	Area (sqmi)	Area (km 2 )	Location	Population (2000)
29	Wrangell Island	216	560	Alaska	2,401
30	Mitkof Island	211	546	Alaska	3,364
31	Padre Island	209	542	Texas	-1 ?
32	Guam	209	541	Guam	154,805
33	Isle Royale	206	534	Michigan	0
34	Tanaga Island	204	529	Alaska	0
35	Zarembo Island	185	478	Alaska	0
36	Unga Island	177	461	Alaska	0
37	Amlia	176	459	Alaska	0
38	Hinchinbrook Island	170	445	Alaska	5
39	Kosciusko Island	169	438	Alaska	52
40	Whidbey Island	169	437	Washington	58,211
41	Kruzof Island	168	435	Alaska	0
42	Kanaga Island	142	369	Alaska	0
43	Lāna ʻ i	141	364	Hawaii	3,193
44	St. Matthew Island	137	354	Alaska	0
45	Annette Island	132	342	Alaska	1,447
46	Akutan Island	129	334	Alaska	713
47	Drummond Island	125	324	Michigan	1,058
48	Hagemeister Island	120	312	Alaska	0
49	Nagai Island	120	310	Alaska	0
50	Amchitka	119	309	Alaska	0
51	Sitkalidak Island	119	309	Alaska	0
52	Mount Desert Island	108	280	Maine	10,424
53	Kiska	107	278	Alaska	0
54	Knight Island	101	260	Alaska	0
55	Marsh Island	100	259	Louisiana	0
56	Santa Cruz Island	98	254	California	2
57	Gravina Island	95	245	Alaska	50
58	Martha's Vineyard	91	236	Massachusetts	14,901
59	Agattu	90	234	Alaska	0
60	Semisopochnoi Island	86	224	Alaska	0
61	Johns Island	84	217	South Carolina	11,477
62	Seguam Island	83	215	Alaska	1
63	Saint Croix	82	212	U.S. Virgin Islands	53,234
64	Yakobi Island	82	212	Alaska	0
65	Santa Rosa Island	81	209	California	2
66	Raspberry Island	77	200	Alaska	2
67	Douglas Island	77	199	Alaska	5.297
68	Dauphin Island	75	194	Alabama	1,371
69	Santa Catalina Island	75	194	California	3,696
