Game	January	Opponent	Score	Record
38	3	Montreal Canadiens	6 - 2	21-13-4
39	5	Vancouver Canucks	6 - 4	22-13-4
40	9	@ St. Louis Blues	5 - 3	23-13-4
41	10	@ Colorado Rockies	5 - 3	24-13-4
42	14	@ Atlanta Flames	6 - 4	25-13-4
43	15	Minnesota North Stars	8 - 1	25-14-4
44	17	New York Islanders	5 - 3	26-14-4
45	20	@ St. Louis Blues	3 - 2	26-15-4
46	21	Philadelphia Flyers	5 - 5	26-15-5
47	24	@ Washington Capitals	5 - 1	26-16-5
48	25	@ Buffalo Sabres	5 - 4	27-16-5
49	27	@ New York Islanders	7 - 2	28-16-5
50	30	@ Vancouver Canucks	5 - 3	29-16-5
51	31	@ Colorado Rockies	5 - 4	29-17-5
