Rank	Player	Goals	Assists	Points	Years
Rank	Player	Goals	Assists	Points	Years
1	Doug Allison	63	32	158	1984-87
2	Chris Faklaris	55	14	124	1991-94
3	Clint Mathis	53	15	121	1994-97
4	Clark Brisson	36	26	98	1987-90
5	Dan Ratcliff	37	20	94	1983-86
6	Jordan Quinn	37	13	87	1999-02
7	Andrew Coggins	33	15	81	1988-91
8	Brian Winstead	33	14	80	1978-79
9	Billy Baumhoff	22	34	78	1991-94
9	Rob Smith	19	40	78	1991-94
11	John Harr	28	20	76	1997-99
12	Arni Arnthorsson	22	25	69	1984-87
13	Dave Goodchild	28	12	68	1979-82
14	Rubén Tufiño	18	30	66	1989-92
15	Joey Worthen	25	15	65	1998-01
