Model	Engine	Displacement	Power	Torque
70	I4	1,301 cc	48kW (65 PS) @ 5600 rpm	N·m (lb·ft) @ 3000 rpm
70	I4	1,301 cc	50kW (68 PS) @ 5700 rpm	N·m (lb·ft) @ 2900 rpm
1.4 S	I4	1,372 cc	46kW (63 PS) @ 5800 rpm	N·m (lb·ft) @ 3000 rpm
75 ie	I4	1,498 cc	55kW (75 PS) @ 5800 rpm	108 Nm @ 3,000 rpm
85, 1.5 S/SC	I4	1,498 cc	58kW (79 PS) @ 5500 rpm (82 PS in Latin America)	N·m (lb·ft) @ 2900 rpm
1.6 S/SC	I4	1,581 cc	64kW (87 PS) @ 6000 rpm	N·m (lb·ft) @ 3000 rpm
90i	I4	1,585 cc	66kW (90 PS) @ 6250 rpm	N·m (lb·ft) @ 4250 rpm
100 S	I4	1,585 cc	74kW (100 PS) @ 5900 rpm	N·m (lb·ft) @ 3800 rpm
100i	I4	1,585 cc	74kW (100 PS) @ 6000 rpm	N·m (lb·ft) @ 4000 rpm
2000 Twincam	I4	1,995 cc	81kW (110 PS) @ 5000 rpm	N·m (lb·ft) @ 3000 rpm
