Name	State	Status	Title	Appointment	Credentials Presented
Henry F. Grady	California	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Apr 10, 1947	Jul 1, 1947
Loy W. Henderson	Colorado	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	Jul 14, 1948	Nov 19, 1948
Chester Bowles	Connecticut	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Oct 10, 1951	Nov 1, 1951
George V. Allen	North Carolina	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	Mar 11, 1953	May 4, 1953
John Sherman Cooper	Kentucky	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Feb 4, 1955	Apr 9, 1955
Ellsworth Bunker	Vermont	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Nov 28, 1956	Mar 4, 1957
John Kenneth Galbraith	Massachusetts	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Mar 29, 1961	Apr 18, 1961
Chester Bowles	Connecticut	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	May 3, 1963	Jul 19, 1963
Kenneth B. Keating	New York	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	May 1, 1969	Jul 2, 1969
Daniel P. Moynihan	New York	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Feb 8, 1973	Feb 28, 1973
William B. Saxbe	Ohio	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Feb 3, 1975	Mar 8, 1975
Robert F. Goheen	New Jersey	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Apr 26, 1977	May 26, 1977
Harry G. Barnes, Jr.	Maryland	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	Oct 1, 1981	Nov 17, 1981
John Gunther Dean	New York	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	Aug 2, 1985	Sep 6, 1985
John R. Hubbard	California	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Nov 22, 1988	Dec 27, 1988
William Clark, Jr.	District of Columbia	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	Oct 10, 1989	Dec 22, 1989
Thomas R. Pickering	New Jersey	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	Apr 6, 1992	Aug 14, 1992
Frank G. Wisner	District of Columbia	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	Jun 9, 1994	Aug 2, 1994
Richard Frank Celeste	Ohio	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Nov 10, 1997	Nov 28, 1997
Robert Blackwill	Kansas	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Jul 12, 2001	Sep 14, 2001
David Campbell Mulford	Illinois	Non-career officer	Ambassador Extraordinary and Plenipotentiary	Dec 12, 2003	Feb 23, 2004
Timothy J. Roemer	Indiana	Non-career appointee	Ambassador Extraordinary and Plenipotentiary	Jul 23, 2009	Aug 11, 2009
Albert Peter Burleigh	California	Foreign Service officer	Charge d'affaires	June 2011	Left post 2012
Nancy Jo Powell	Iowa	Foreign Service officer	Ambassador Extraordinary and Plenipotentiary	February 7, 2012	April 19, 2012
