Game	March	Opponent	Score	Record	Points
64	2	@ Edmonton Oilers	1–2 OT	41–19–4	86
65	4	Buffalo Sabres	4–6	41–20–4	86
66	6	Toronto Maple Leafs	7–4	42–20–4	88
67	8	@ New Jersey Devils	3–7	42–21–4	88
68	9	@ New York Rangers	4–1	43–21–4	90
69	13	Washington Capitals	2–0	44–21–4	92
70	15	@ Toronto Maple Leafs	6–5 OT	45–21–4	94
71	16	New Jersey Devils	4–1	46–21–4	96
72	20	Pittsburgh Penguins	5–1	47–21–4	98
73	22	New York Rangers	4–2	48–21–4	100
74	23	@ Washington Capitals	5–6	48–22–4	100
75	27	Buffalo Sabres	0–1	48–23–4	100
76	29	New York Rangers	8–2	49–23–4	102
