Game	November	Opponent	Score	Record	Points
12	1	@ New Jersey Devils	2–3	6–6–0	12
13	3	Vancouver Canucks	2–5	6–7–0	12
14	4	@ Detroit Red Wings	4–3	7–7–0	14
15	6	Pittsburgh Penguins	5–4	8–7–0	16
16	9	@ New York Rangers	3–5	8–8–0	16
17	10	Calgary Flames	2–3 OT	8–9–0	16
18	12	Detroit Red Wings	4–5	8–10–0	16
19	15	New York Rangers	3–3 OT	8–10–1	17
20	17	St. Louis Blues	1–3	8–11–1	17
21	19	@ Quebec Nordiques	5–6	8–12–1	17
22	20	New Jersey Devils	7–1	9–12–1	19
23	22	Los Angeles Kings	1–6	9–13–1	19
24	24	@ Boston Bruins	1–2 OT	9–14–1	19
25	26	@ Pittsburgh Penguins	3–4	9–15–1	19
26	27	@ Buffalo Sabres	3–7	9–16–1	19
27	29	Boston Bruins	5–1	10–16–1	21
