Team	Recopa 1994	Supercopa 1994	CONMEBOL 1994	Copa Libertadores 1995
Independiente	Champions	Champions	N/A	Round 2
Boca Juniors	N/A	Runner up	did not qualify	did not qualify
Vélez Sársfield	Runner up	N/A	N/A	QF
River Plate	N/A	QF	N/A	SF
San Lorenzo	N/A	N/A	QF	did not qualify
Estudiantes	N/A	QF	did not qualify	did not qualify
Huracán	N/A	N/A	1st round	did not qualify
Lanús	N/A	N/A	1st round	did not qualify
Argentinos Juniors	N/A	1st round	did not qualify	did not qualify
Racing Club	N/A	1st round	did not qualify	did not qualify
