Celebrity	Famous for	Entered	Exited	Finished
Gino D'Acampo	Celebrity chef	Day 1	Day 21	1st
Kim Woodburn	TV personality/expert	Day 1	Day 21	2nd
Jimmy White	Snooker player	Day 1	Day 21	3rd
Justin Ryan	Interior designer and TV presenter	Day 1	Day 20	4th
Stuart Manning	Actor (played Russ Owen in Hollyoaks )	Day 1	Day 19	5th
Sabrina Washington	Singer, former member of Mis-Teeq	Day 1	Day 18	6th
George Hamilton	American actor and personality	Day 1	Day 17	7th
Joe Bugner	Former world-rated heavyweight boxer	Day 4	Day 16	8th
Samantha Fox	Former model and singer	Day 1	Day 14	9th
Colin McAllister	Interior designer and TV presenter	Day 1	Day 11	10th
Lucy Benjamin	Actress (played Lisa Fowler in EastEnders )	Day 1	Day 10	11th
Katie Price (second appearance)	Model and TV personality	Day 2	Day 9	12th
Camilla Dallerup	Former Strictly Come Dancing professional dancer	Day 1	Day 4	13th
