Calls	Freq.	Format	Market/Market Rank	Weeknights	Saturday	Sunday	Group Owner
Satellite Stations	Satellite Stations	Satellite Stations	Satellite Stations	Satellite Stations	Satellite Stations	Satellite Stations	Satellite Stations
XM	166	Talk	United States	No	9PM-1AM ET	9PM-1AM ET	Clear Channel Communications
Terrestrial Stations	Terrestrial Stations	Terrestrial Stations	Terrestrial Stations	Terrestrial Stations	Terrestrial Stations	Terrestrial Stations	Terrestrial Stations
WABC	770 kHz	News/Talk	New York City, NY / 1	9PM-1AM	9PM-1AM	9PM-1AM	Cumulus Media
WLS	890 kHz	News/Talk	Chicago, IL / 3	No	10PM-12AM	No	Cumulus Media
KSFO	560 kHz	Talk	San Francisco, CA / 4	6PM-8PM	No	7PM-10PM	Cumulus Media
WBAP	820 kHz	News/Talk	Dallas - Ft. Worth, Texas / 5	No	9PM-12AM	9PM-12AM	Cumulus Media
WBAP-FM	96.7 MHz	News/Talk	Dallas - Ft. Worth, Texas / 5	No	9PM-12AM	9PM-12AM	Cumulus Media
KLIF	570 kHz	All-News/Talk	Dallas - Ft. Worth, Texas / 5	M-Th:8PM-4AM F:8PM-5AM	12AM-5AM	12AM-4AM	Cumulus Media
KROI	92.1 MHz	News	Houston / 6	No	8PM-12AM	8PM-12AM	Radio One
WMAL	630 kHz	News/Talk	Washington, DC / 9	9PM-1AM	10PM-1AM	10PM-1AM	Cumulus Media
WMAL-FM	105.9 MHz	News/Talk	Washington, DC / 9	9PM-1AM	10PM-1AM	10PM-1AM	Cumulus Media
WJR	760kHz	News/Talk	Detroit, MI / 11	11PM-1AM	10PM-1AM	No	Cumulus Media
WBT	1110 kHz	Talk	Charlotte, NC - Gastonia, NC - Rock Hill, SC / 24	No	9PM-1AM	No	Greater Media
WBT-FM	99.3 MHz	Talk	Charlotte, NC - Gastonia, NC - Rock Hill, SC / 24	No	9PM-1AM	No	Greater Media
KCMO	710 kHz	News/Talk	Kansas City, MO / 33	8PM-12AM	9PM-11PM	11PM-12PM	Cumulus Media
WMNI	920 kHz	All-News/Talk	Columbus, OH / 35	No	9PM-1AM	9PM-1AM	North American Broadcasting Company, Inc.
WJKR	103.9 MHz	All-News/Talk	Columbus, OH / 35	No	9PM-1AM	9PM-1AM	North American Broadcasting Company, Inc.
WPRO	630 AM and 99.7 FM kHz	News/Talk	Providence - Warwick - Pawtucket, RI / 41	M-Th:9PM-1AM F:9PM-12AM	7PM-11PM	9PM-11PM	Cumulus Media
WBOB	600 kHz	News/Talk	Jacksonville, FL / 49	No	9PM-1AM	9PM-1AM	Chesapeake-Portsmouth Broadcasting Corp.
KKOB	770 kHz	News/Talk	Albuquerque, NM / 68	No	7PM-11PM	No	Cumulus Media
WTRW	94.3 MHz	Talk	Carbondale (Scranton), PA / 70	9PM-1AM	9PM-1AM	9PM-1AM	Bold Gold Media Group, LP
KNSS	1330 kHz	News/Talk	Wichita, KS / 98	11PM-12AM	9PM-12AM	8PM-9PM	Entercom Communications
KBOI	670 kHz	News/Talk	Boise, ID / 101	10PM-1AM	10PM-12AM	No	Cumulus Media
WGOW-FM	102.3 MHz	News/Talk	Chattanooga, TN / 108	M-Th:11PM-1AM F:11PM-12AM	11PM-1AM	11PM-1AM	Cumulus Media
WFNC	640 kHz	News/Talk	Fayetteville, NC / 130	11PM-1AM	No	No	Cumulus Media
WPGG	1450 kHz	News/Talk	Atlantic City, NJ / 140	11PM-1AM	9PM-1AM	9PM-1AM	Townsquare Media
WWXL	1450 kHz	Talk	Manchester, Kentucky / NA	9PM-1AM	No	No	Juanita Nolan
WXLM	980 kHz	News/Talk	New London, CT / 176	9PM-1AM	No	No	Cumulus Media
WKMI	1360 kHz	News/Talk	Kalamazoo, MI / 183	9PM-1AM	No	No	Cumulus Media
KSLI	1280 kHz	News/Talk	Abilene, TX / 245	8PM-12AM	No	No	GAP Broadcasting
KXL-FM	101.1 MHz	News/Talk	Portland, OR / NA	No	No	1AM-5AM	Alpha Broadcasting
