Position	Number	Name	Height	Weight	Class	Hometown	Games↑
QB	5	Mike Hartline	6'6"	205	RS-So.	Canton, Ohio	3
TB	28	Tony Dixon	5'9"	203	Sr.	Parrish, Alabama	3
FB	38	John Conner	5'11"	230	Jr.	West Chester, Ohio	3
WR	12	Dicky Lyons	5'11"	190	Sr.	New Orleans, Louisiana	3
WR	81	Kyrus Lanxter	6'3"	193	So.	Alcoa, Tennessee	1
TE	80	T.C. Drake	6'6"	242	Jr.	Bardstown, Kentucky	1
LT	52	Billy Joe Murphy	6'6"	292	Rs-Fr.	Gamaliel, Kentucky	2
LG	72	Zipp Duncan	6'5"	295	Jr.	Magnolia, Kentucky	3
C	61	Jorge González	6'3"	303	Jr.	Tampa Bay, Florida	3
RG	73	Jess Beets	6'2"	293	Sr.	Dove Canyon, California	3
RT	76	Justin Jeffries	6'6"	310	Jr.	Louisville, Kentucky	3
