Country	Project Name	Year startup	Operator	Peak
OPEC	OPEC	OPEC	OPEC	OPEC
Algeria	Gassi Touil	2014	Sonatrach	40
Angola	Block 14 Lucapa	2014	Chevron	100
Angola	Block 14 Malange Pinda	2014	Chevron	40
Angola	Block 17 CLOV (Cravo; Lirio; Orquidea; Violeta)	2014	Total	160
Iran	Azadegan Phase II (south)	2014	NIOC	110
Iran	Ferdows Golshan	2014	SKS Ventures	70
Iran	South Pars Ph 11-13-18	2014	Various	360
Nigeria	Bonga SW; Aparo	2014	Shell	140
Nigeria	Egina	8/2013	Total	150
Qatar	Pearl GTL Phase II	2014	Shell	70
Qatar	Pearl NGL Phase II	2014	Shell	60
Saudi Arabia	Shaybah Ph 3	2014	Saudi Aramco	0
UAE	North East Bab EOR	2014	ADNOC	120
Non-OPEC	Non-OPEC	Non-OPEC	Non-OPEC	Non-OPEC
Australia	Balnaves Development Project	2014	Apache Energy/KUFPAC	30
Australia	Coniston Oil Field Project	2014	Apache Energy/Inpex	22
Australia	Ichthys	2014	INPEX	100
Brazil	Marlim Sul Module 4	2014	Petrobras	0
Brazil	Iara	2014	Petrobras	100
Brazil	Sapinhoa Norte	09/2014	Petrobras	150
Brazil	Cernambi Sul	10/2014	Petrobras	150
Canada	AOSP Jackpine Mine (Ph 1B)	2014	Albian Sands	100
Canada	Jackpine Mine (Ph 2)	2014	Albian Sands	0
Canada	Fort Hills Mine (Ph 3-4)	2014	Petro-Canada/UTS /Teck Cominco	0
Canada	Joslyn Ph 1 (Deer Creek)	2014	Total	50
Canada	Long Lake Upgrader Ph 2	2014	OPTI /Nexen	60
Canada	Sunrise Ph 2	2014	Husky Energy	0
Kazakhstan	Karachaganak Phase III	2014	BG / Eni	120
Mexico	( Chicontepec ) Exp 2	2014	PEMEX	200
Russia	Vladimir Filanovsky	2014	Lukoil	120
USA	Alaska Gas (Point Thomson)	2014	ExxonMobil	10
USA	Puma	2014	BP	40
USA	Tubular Bells	2014	BP	40
USA	Jack	2014	Chevron	170
