Pick #	Player	Position	Nationality	NHL team	College/junior/club team
1	Billy Harris	Right Wing	Canada	New York Islanders	Toronto Marlboros ( OHL )
2	Jacques Richard	Left Wing	Canada	Atlanta Flames	Quebec Remparts ( QMJHL )
3	Don Lever	Centre	Canada	Vancouver Canucks	Niagara Falls Flyers (OMJHL)
4	Steve Shutt	Left Wing	Canada	Montreal Canadiens	Toronto Marlboros (OMJHL)
5	Jim Schoenfeld	Defence	Canada	Buffalo Sabres	Niagara Falls Flyers (OMJHL)
6	Michel Larocque	Goaltender	Canada	Montreal Canadiens	Ottawa 67's (OMJHL)
7	Bill Barber	Left Wing	Canada	Philadelphia Flyers	Kitchener Rangers (OMJHL)
8	Dave Gardner	Centre	Canada	Montreal Canadiens	Toronto Marlboros (OMJHL)
9	Wayne Merrick	Centre	Canada	St. Louis Blues	Ottawa 67's (OMJHL)
10	Al Blanchard	Left Wing	Canada	New York Rangers	Kitchener Rangers (OMJHL)
11	George Ferguson	Centre	Canada	Toronto Maple Leafs	Toronto Marlboros (OMJHL)
12	Jerry Byers	Left Wing	Canada	Minnesota North Stars	Kitchener Rangers (OMJHL)
13	Phil Russell	Defence	Canada	Chicago Black Hawks	Edmonton Oil Kings ( WCHL )
14	John Van Boxmeer	Defence	Canada	Montreal Canadiens	Guelph CMC's ( SOJHL )
15	Bob MacMillan	Centre	Canada	New York Rangers	St. Catharines Black Hawks (OMJHL)
16	Mike Bloom	Left Wing	Canada	Boston Bruins	St. Catharines Black Hawks (OMJHL)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
