Athlete	Nationality	2.15	2.20	2.24	2.27	Result
Artur Partyka	Poland	o	–	o	–	2.34
Dalton Grant	Great Britain	xo	o	–	x–	2.34
Sergey Klyugin	Russia	–	o	o	o	2.32
Martin Buß	Germany	–	o	o	o	2.32
Dimitrios Kokotis	Greece	–	o	–	o	2.30
Steinar Hoen	Norway	–	xo	xo	o	2.30
Stefan Holm	Sweden	–	o	xo	o	2.27
Staffan Strand	Sweden	–	o	–	xxo	2.27
Dragutin Topić	Yugoslavia	–	o	o	–	2.24
Brendan Reilly	Great Britain	–	–	o	xx–	2.24
Christian Rhoden	Germany	o	xo	o	xxx	2.24
Tomáš Janků	Czech Republic	o	o	xo	xxx	2.24
