Team	Location	Venue	Capacity	Position in 1992
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	1
Dnepr	Mogilev	Spartak	11,200	2
Dinamo Brest	Brest	Dinamo, Brest	10,080	3
Fandok	Bobruisk	Spartak, Bobruisk	3,550	4
Neman	Grodno	Neman	6,300	5
KIM	Vitebsk	Central, Vitebsk	8,300	6
Torpedo Mogilev	Mogilev	Torpedo, Mogilev	3,500	7
Vedrich	Rechytsa	Central, Rechytsa	3,550	8
Molodechno	Molodechno	City Stadium, Molodechno	5,500	9
Torpedo Minsk	Minsk	Torpedo, Minsk	5,200	10
Shakhtyor	Soligorsk	Stroitel	5,000	11
Obuvshchik	Lida	City Stadium, Lida	4,000	12
Torpedo Zhodino	Zhodino	Torpedo, Zhodino	3,020	13
Stroitel	Starye Dorogi	Stroitel	2,000	14
Lokomotiv	Vitebsk	Central, Vitebsk	8,300	15
Gomselmash	Gomel	Central, Gomel	11,800	16
Belarus	Minsk	Dinamo, Minsk	41,040	First league , 1
