Longitude အင်္သာ	Sign ရာသီ	Sanskrit	Latin	Ruling planet ရာသီခွင်
0°	Meittha မိဿ	Meṣha मेष	Aries	Mars
30°	Pyeittha ပြိဿ	Vṛiṣabha वृषभ	Taurus	Venus
60°	Mehton မေထုန်	Mithuna मिथुन	Gemini	Mercury
90°	Karakat ကရကဋ်	Karkaṭa कर्कट	Cancer	Moon
120°	Thein သိဟ်	Siṃha सिंह	Leo	Sun
150°	Kan ကန်	Kanyā कन्या	Virgo	Mercury
180°	Tu တူ	Tulā तुला	Libra	Venus
210°	Byeissa ဗြိစ္ဆာ	Vṛścika वृश्चिक	Scorpio	Mars
240°	Danu ဓနု	Dhanuṣa धनुष	Sagittarius	Jupiter
270°	Makara မကာရ	Makara मकर	Capricorn	Saturn
300°	Kon ကုံ	Kumbha कुम्भ	Aquarius	Saturn
330°	Mein မိန်	Mīna मीन	Pisces	Jupiter
