Week	Date	Opponent	Result	Record	Game Site	TV Time	Attendance
1	September 3, 1995	Cincinnati Bengals	L 21–24	0–1	RCA Dome	NBC 1:00pm	42,445
2	September 10, 1995	at New York Jets	W 27–24	1–1	The Meadowlands	NBC 4:05pm	65,134
3	September 17, 1995	at Buffalo Bills	L 14–20	1–2	Rich Stadium	NBC 1:00pm	62,499
4	Bye	Bye	Bye	Bye	Bye	Bye	Bye
5	October 1, 1995	St. Louis Rams	W 21–18	2–2	RCA Dome	FOX 1:00pm	58,616
6	October 8, 1995	at Miami Dolphins	W 27–24	3–2	Joe Robbie Stadium	NBC 4:05pm	68,471
7	October 15, 1995	San Francisco 49ers	W 18–17	4–2	RCA Dome	FOX 1:00pm	60,273
8	October 22, 1995	at Oakland Raiders	L 17–30	4–3	Oakland-Alameda County Coliseum	NBC 4:05pm	53,543
9	October 29, 1995	New York Jets	W 17–10	5–3	RCA Dome	NBC 1:00pm	49,250
10	November 5, 1995	Buffalo Bills	L 10–16	5–4	RCA Dome	NBC 1:00pm	59,612
11	November 12, 1995	at New Orleans Saints	L 14–17	5–5	Louisiana Superdome	NBC 1:00pm	44,122
12	November 19, 1995	at New England Patriots	W 24–10	6–5	Foxboro Stadium	NBC 1:00pm	59,544
13	November 26, 1995	Miami Dolphins	W 36–28	7–5	RCA Dome	NBC 1:00pm	60,414
14	December 3, 1995	at Carolina Panthers	L 10–13	7–6	Memorial Stadium	NBC 1:00pm	49,841
15	December 10, 1995	at Jacksonville Jaguars	W 41–31	8–6	Jacksonville Municipal Stadium	NBC 1:00pm	66,099
16	December 17, 1995	San Diego Chargers	L 24–27	8–7	RCA Dome	NBC 1:00pm	55,318
17	December 23, 1995	New England Patriots	W 10–7	9–7	RCA Dome	ESPN 8:15pm	54,685
