Week	Date	Opponent	Result	Venue	Attendance
1	September 16, 1962	Minnesota Vikings	W 34-7	City Stadium	38,669
2	September 23, 1962	St. Louis Cardinals	W 17-0	Milwaukee County Stadium	44,885
3	September 30, 1962	Chicago Bears	W 49-0	City Stadium	38,669
4	October 7, 1962	Detroit Lions	W 9-7	City Stadium	38,669
5	October 14, 1962	at Minnesota Vikings	W 48-21	Metropolitan Stadium	41,475
6	October 21, 1962	San Francisco 49ers	W 31-13	Milwaukee County Stadium	46,010
7	October 28, 1962	at Baltimore Colts	W 17-6	Memorial Stadium	57,966
8	November 4, 1962	at Chicago Bears	W 38-7	Wrigley Field	48,753
9	November 11, 1962	at Philadelphia Eagles	W 49-0	Franklin Field	60,671
10	November 18, 1962	Baltimore Colts	W 17-13	City Stadium	38,669
11	November 22, 1962	at Detroit Lions	L 14-26	Tiger Stadium	57,598
12	December 2, 1962	Los Angeles Rams	W 41-10	Milwaukee County Stadium	46,833
13	December 9, 1962	at San Francisco 49ers	W 31-21	Kezar Stadium	53,769
14	December 16, 1962	at Los Angeles Rams	W 20-17	Los Angeles Memorial Coliseum	60,353
