Outcome	Date	Tournament	Surface	Opponent	Score
Winner	23 April 1984	Taranto	Clay	Sabrina Goleš	6–3, 7–5
Winner	9 July 1984	Rio de Janeiro	Hard	Adriana Villagran	6–3, 6–3
Winner	6 May 1985	Barcelona	Clay	Raffaella Reggi	6–3, 6–4
Winner	14 July 1986	Bregenz	Clay	Mariana Pérez-Roldán	6–4, 6–0
Runner-up	18 May 1987	Strasbourg	Clay	Carling Bassett	3–6, 4–6
Winner	6 July 1987	Båstad	Clay	Catarina Lindqvist	6–4, 6–4
Winner	2 November 1987	Little Rock	Hard	Natalia Zvereva	6–0, 1–6, 3–6
Winner	16 May 1988	Strasbourg	Clay	Judith Wiesner	6–3, 6–0
Runner-up	4 July 1988	Båstad	Clay	Isabel Cueto	5–7, 1–6
Winner	11 July 1988	Nice	Clay	Nathalie Tauziat	7–5, 6–4
Runner-up	17 July 1989	Estoril	Clay	Isabel Cueto	6–7 (3–7) , 2–6
Winner	18 September 1989	Paris	Clay	Regina Rajchrtová	6–4, 6–7 (5–7) , 6–1
Winner	9 July 1990	Båstad	Clay	Csilla Bartos	6–1, 6–2
Winner	22 April 1991	Bol	Clay	Magdalena Maleeva	6–4, 3–6, 7–5
Runner-up	8 July 1991	Palermo	Clay	Mary Pierce	0–6, 3–6
Winner	14 September 1992	Paris	Clay	Emanuela Zardo	6–2, 6–1
Runner-up	19 September 1994	Moscow	Carpet (I)	Magdalena Maleeva	5–7, 1–6
Runner-up	5 August 1996	Maria Lankowitz	Clay	Barbara Paulus	w/o
