Tournament	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	A	LQ	LQ	1R	1R	3R	2R	3R	4R	A
French Open	A	A	A	A	LQ	LQ	1R	1R	2R	1R	1R	3R	1R
Wimbledon	A	A	A	A	LQ	LQ	3R	1R	3R	2R	1R	3R	1R
US Open	A	A	A	A	LQ	LQ	1R	2R	3R	3R	2R	3R	1R
Win–Loss	0–0	0–0	0–0	0–0	2–4	4–4	2–4	1–4	7–4	4–4	3–4	9–4	0–3
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	NH	A	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	2R	Not Held	Not Held	Not Held
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	A	A	A	2R	1R	3R	4R	2R	2R	A
Key Biscayne	A	A	A	A	A	A	1R	3R	2R	2R	2R	2R	A
Madrid	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	QF	3R	A
Beijing	Not Held	Not Held	Not Held	Not Held	Not Held	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	3R	2R	1R
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	2R	1R	A
Rome	A	A	A	A	A	A	2R	A	3R	2R	1R	A	A
Cincinnati	Not Held	Not Held	Not Held	Not Held	Not Held	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	2R	3R	2R
Montreal / Toronto	A	A	A	A	A	A	A	1R	1R	A	3R	3R	1R
Tokyo	A	A	A	A	A	A	A	A	A	A	1R	3R	A
WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments	WTA Premier Tournaments
Charleston	A	A	A	A	A	A	LQ	3R	A	A	3R	QF	A
Moscow	NTI	A	A	A	A	LQ	LQ	LQ	1R	1R	SF	2R	1R
Doha	Not Held	Not Held	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	A	Not Held	Not Held	A
Berlin	A	A	A	A	A	A	A	A	2R	QF	Not Held	Not Held	Not Held
San Diego	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	A	2R	2R	A	Not Held	Not Held	1R	A
Zurich	A	A	A	A	A	A	1R	2R	QF	Not Tier I	Not Tier I	Not Tier I	Not Tier I
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Tournaments Played	6	10	9	15	30	31	29	29	25	23	27	20	8
Titles–Finals	0–0	0–1	0–0	1–2	1–1	1–3	0–1	2–2	1–2	0–0	0–1	1–1	0–0
Win–Loss	6–7	17–11	19–9	35–14	26–31	42–30	24–30	42–27	36–24	28–23	33–26	25–21	3–8
Year End Ranking	652	493	376	191	190	126	73	32	22	32	32	36	253
