Date	Pos.	Player	From club	Transfer fee
13 July 2007	FW	Rolando Bianchi	Reggina	£8.8m
14 July 2007	MF	Gelson Fernandes	FC Sion	Undisc.
17 July 2007	MF	Geovanni	Cruzeiro	Free
26 July 2007	MF	Martin Petrov	Atlético Madrid	£4.7m
2 Aug. 2007	DF	Vedran Ćorluka	Dinamo Zagreb	Undisc.
2 Aug. 2007	MF	Elano	Shakhtar Donetsk	£8m
2 Aug. 2007	DF	Javier Garrido	Real Sociedad	£1.5m
3 Aug. 2007	FW	Valeri Bojinov	Fiorentina	£5.75m
31 Jan. 2008	FW	Felipe Caicedo	FC Basel	£5.2m
31 Jan. 2008	FW	Benjani Mwaruwari	Portsmouth	£3.87m
