Year ended	Passengers flown	Employees (Average/Year)	Net profit/loss (SEK)	Basic eps (SEK)
2010	25,200,000	14,801	-2,218,000,000	-7.79
2009	24,900,000	18,786	-2,947,000,000	-18.20
2008	29,000,000	24,635	-6,360,000,000	-6.29
2007	29,200,000	26,538	1,234,000,000	3.87
2006	38,609,000	26,554	4,936,000,000	28.10
2005	36,312,000	32,363	418,000,000	1.06
2004	32,400,000	32,481	-1,813,000,000	-11.38
2003	31,004,000	34,544	-2,221,000,000	-8.60
2002	33,254,000	35,506	-736,000,000	-0.81
2001	35,640,000	31,035	-1,140,000,000	-6.58
2000*	23,240,000	30,939	2,273,000,000	11.79
1999*	21,991,000	30,310	1,846,000,000	8.41
