Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
8-01	92	S04E14	s Photograph	Fur Tanning	Welding Electrodes	Electric Violins
8-02	93	S04E15	Glass Bottles	s Hacksaw	Goalie Masks (Part 1)	Goalie Masks (Part 2)
8-03	94	S04E16	Lacrosse Sticks	Frozen Fish Products	s Flashlight	es Paintbrush
8-04	95	S04E17	Deep Cycle Batteries	Tins	Optical Lenses (Part 1)	Optical Lenses (Part 2)
8-05	96	S04E18	s Horseshoe	s Dishwasher	Graphite s Fly Rod	s Frozen Pizza
8-06	97	S04E19	s Piston	Paint Rollers	s Parachute	s Chimney
8-07	98	S04E20	CO 2 Cartridges	Pretzels	Scissor Lifts	s Skating Rink
8-08	99	S04E21	s Pro Hockey Stick	Bronzed Baby Shoes	s Treadmill	s Handheld Computer
8-09	100	S04E22	s Motorcycle	Clay Pipes	Drumsticks	s Whistle
8-10	101	S04E23	Handcuffs	Caulking & Joint Compound	Propane Tanks	Forensic Facial Reconstruction
8-11	102	S04E24	Fur Coats	s Hearse	Outdoor Lighting Fixtures	Golf Tees
8-12	103	S04E25	Fishing Reels	Miniature Houses	Kitchen Mixers (Part 1)	Kitchen Mixers (Part 2)
8-13	104	S04E26	Manhole Covers	Range Hoods	Artificial Logs	Snowmobiles
