Surname	First	D.O.B.	Bats	Throws	Position
BALGERA	Clint	5 August 1975	L	R	OF
DALE	Lachlan	22 June 1983	R	R	INF
DALE	Brandon	10 November 1980	R	R	OF
de SAN MIGUEL	Allan	1 February 1988	R	R	C
FLOYD	Daniel	17 January 1983	R	R	OF
GOADBY	Chris	2 May 1985	R	R	P
GRAHAM	Mitch	17 February 1986	R	R	INF/OF
HENDRIKS	Liam	10 February 1989	R	R	P
HUGHES	Luke	2 August 1984	R	R	INF
KELLY	Mark	18 April 1984	S	R	P
KENNELLY	Matthew	21 April 1989	R	R	C/1B
KENNELLY	Tim	5 December 1986	R	R	OF/INF
KYLE	Andrew	1 March 1981	S	R	INF
LAMB	Cameron	20 May 1989	R	R	P
MITCHINSON	Scott	28 December 1984	R	R	P
MURPHY	Travis	15 November 1984	R	R	P
NEEDLE	Ben	8 July 1977	R	R	INF
PEACOCK	Dylan	29 April 1986	R	R	P
RISINGER	Ben	25 November 1977	R	R	1B/OF
THOMAS	Brendon	28 February 1979	R	L	P
WHITE	Dean	12 February 1983	R	R	P/INF
WISE	Brendan	9 February 1986	R	R	P
