From	Goal	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6+
1977	200	Single	Single	Double	Double	Double	Double
1977	300	Single	Single	Single	Double	Triple	Triple
1984	400	Single	Single	Single	Single	Double	Triple
1988	300	Single	Single	Single	Double	Triple	Triple
1988	300	Single	Single	Double	Triple	Triple	Triple
1990	300	Single	Single	Single	Double	Triple	Triple
1992	300	Single	Double	Triple	Triple	Triple	Triple
1999	—	Single	Single	Single	Triple 1	Sudden Death 2	Sudden Death 2
2003	300	Single	Single	Double	Triple	Sudden Death	Sudden Death
2009	300	Single	Double	Triple	Sudden Death	Sudden Death	Sudden Death
2010	300	Single	Single	Double	Triple	Sudden Death	Sudden Death
