Player	Nationality	Position	Years in Orlando	School/Club Team
Reece Gaines	United States	Guard	2003–2004	Louisville
Kiwane Garris	United States	Guard	1999–2000	Illinois
Pat Garrity	United States	Forward	1999–2008	Notre Dame
Chris Gatling	United States	Forward-Center	1999–2000	Old Dominion
Gordan Giriček	Croatia	Guard	2003–2004	CSKA Moscow ( Russia )
Drew Gooden	United States	Forward	2003–2004	Kansas
Marcin Gortat	Poland	Center	2007–2010	Poland
Horace Grant	United States	Forward-Center	1994–1999	Clemson
Horace Grant	United States	Forward-Center	2001–2003	Clemson
Litterial Green	United States	Guard	1992–1994	Georgia
Sidney Green	United States	Forward	1989–1990	UNLV
