Pick	Player	Team	Position	Hometown/School
1	Steve Chilcott	New York Mets	C	Lancaster, CA
2	Reggie Jackson	Kansas City Athletics	OF	Arizona State
3	Wayne Twitchell	Houston Astros	RHP	Portland, OR
4	Ken Brett	Boston Red Sox	LHP	El Segundo, CA
5	Dean Burk	Chicago Cubs	RHP	Highland, IL
6	Tom Grieve	Washington Senators	OF	Pittsfield, MA
7	Leron Lee	St. Louis Cardinals	OF	Sacramento, CA
8	Jim DeNeff	California Angels	SS	Indiana University
9	Mike Biko	Philadelphia Phillies	RHP	Dallas, TX
10	Jim Lyttle	New York Yankees	OF	Florida State
11	Al Santorini	Milwaukee Braves	RHP	Union, NJ
12	* John Curtis	Cleveland Indians	LHP	Smithtown, NY
13	Gary Nolan	Cincinnati Reds	RHP	Oroville, CA
14	* Rick Konik	Detroit Tigers	1B	Detroit, MI
15	Richie Hebner	Pittsburgh Pirates	SS	Norwood, MA
16	Ted Parks	Baltimore Orioles	SS	University of California
17	Bob Reynolds	San Francisco Giants	RHP	Seattle, WA
18	Carlos May	Chicago White Sox	OF	Birmingham, AL
19	Larry Hutton	Los Angeles Dodgers	RHP	Greenfield, IN
20	Bob Jones	Minnesota Twins	3B	Dawson, GA
