Rank	Nation	Gold	Silver	Bronze	Total
1	Soviet Union	116	107	104	327
2	Germany	98	102	89	289
3	East Germany	87	83	58	228
4	Great Britain	61	51	40	152
5	Poland	55	48	67	169
6	Russia	54	48	42	144
7	France	46	35	65	156
8	Italy	32	33	29	94
9	Czechoslovakia	31	32	36	99
10	Bulgaria	28	30	35	93
11	Spain	27	44	35	106
12	Romania	25	35	38	98
13	Sweden	21	21	18	60
14	Netherlands	15	15	15	45
15	Belgium	15	10	10	35
16	Hungary	14	23	17	54
17	Unified Team	12	8	7	27
18	Czech Republic	10	11	11	32
19	Finland	10	8	11	29
20	Portugal	10	7	3	20
21	Ukraine	9	11	10	30
22	Switzerland	8	10	12	30
23	Ireland	8	4	9	21
24	Austria	7	8	13	28
25	Yugoslavia	6	7	13	26
26	Belarus	6	4	6	16
27	Greece	5	10	10	25
28	Latvia	5	1	1	7
29	Estonia	3	0	2	5
30	Norway	2	3	6	11
31	Denmark	2	1	2	5
32	Iceland	2	0	3	5
33	FR Yugoslavia	2	0	2	4
34	Slovenia	1	3	3	7
35	Turkey	1	2	1	4
36	Azerbaijan	1	1	0	1
37	Slovakia	1	0	2	3
38	Serbia	1	0	1	2
39	Israel	1	0	0	1
40	Cyprus	0	2	0	2
41	Croatia	0	1	1	2
42	Bosnia and Herzegovina	0	1	0	1
43	Lithuania	0	1	0	1
44	IEP †	0	1	0	1
45	Armenia	0	0	1	1
46	Moldova	0	0	1	1
Total	Total	838	832	830	2500
