Rank	Province	Population	Area	Density
1	Distrito Nacional	965,040	91.6	10,535.37
2	Santo Domingo	2,374,370	1,302.2	1,823.35
3	San Cristóbal	569,930	1,240.6	459.40
4	La Romana	245,433	652.1	376.37
5	Santiago	963,422	2,806.3	343.31
6	Espaillat	231,938	843.0	275.13
7	Peravia	184,344	785.2	234.77
8	San Pedro de Macorís	290,458	1,254.3	231.57
9	Hermanas Mirabal	92,193	427.4	215.71
10	Valverde	163,030	823.0	198.09
11	Puerto Plata	321,597	1,805.6	178.11
12	Duarte	289,574	1,649.5	175.55
13	La Vega	394,205	2,292.5	171.95
14	Monseñor Nouel	165,224	992.0	166.56
15	Sánchez Ramírez	151,392	1,185.8	127.67
16	Samaná	101,494	862.8	117.63
17	María Trinidad Sánchez	140,925	1,206.5	116.80
18	Barahona	187,105	1,660.2	112.70
19	La Altagracia	273,210	2,998.4	91.12
20	Azua	214,311	2,682.5	79.89
21	Baoruco	97,313	1,284.9	75.74
22	Monte Plata	185,956	2,601.6	71.48
23	San José de Ocoa	59,544	853.4	69.77
24	San Juan	232,333	3,363.8	69.07
25	Hato Mayor	85,017	1,319.3	64.44
26	Dajabón	63,955	1,021.3	62.62
27	Monte Cristi	109,607	1,885.8	58.12
28	Santiago Rodríguez	57,476	1,147.5	50.09
29	El Seibo	87,680	1,788.4	49.03
30	Elías Piña	63,029	1,395.5	45.17
31	Independencia	52,589	2,007.4	26.20
32	Pedernales	31,587	2,080.5	15.18
