Name	Street address	Years as tallest	Height m / ft	Floors
Spencer Building	515 W. Hastings St.	1900–1910	41 / 134	10
Dominion Building	207 W. Hastings St.	1910–1912	53 / 175	14
Sun Tower	100 W. Pender St.	1912–1914	84 / 276	17
Marine Building	355 Burrard St.	1930–1939	98 / 321	21
Hotel Vancouver	900 W. Georgia St.	1939–1972	111 / 364	17
TD Tower	700 W. Georgia St.	1972–1973	127 / 417	30
Royal Centre	1055 W. Georgia St.	1973–1977	141 / 464	37
Harbour Centre	555 W. Hastings St.	1977–2001	146 / 481	28
One Wall Centre	1000 Burrard St.	2001–2008	150 / 491	48
Living Shangri-La	1120 W. Georgia St.	2008–present	201 / 659	62
