English	German	Dutch	Icelandic	Latin	Greek	Russian
English	German	Dutch	Icelandic	Latin	Greek	Russian
sea	See	zee	sjór	mare	άλς (áls)	море (morè)
ship	Schiff	schip	skip	navis	νάυς (náus)	плот (судно, корабль) (plot (sudno, korabl'))
strand (beach)	Strand	strand	strönd	litus, acta	αιγιαλός (aigialós)	берег (bèrèg)
ebb	Ebbe	eb	efja	decessus, recessus	άμπωτις (ámpōtis)	отлив (otliv)
steer	steuern	sturen	stýra	guberno	κυβερνώ (kubernṓ)	управлять (upravljat')
sail	segeln	zeilen	sigla	navigo	πλέω (pléō)	плавать (plavat')
keel	Kiel	kiel	kjölur	carina	τροπίς (tropís)	киль (kil')
north	Norden	noorden	norður	septentriones	βορράς (borrás)	север (sèvèr)
south	Süden	zuiden	suður	australis, meridies	νότος (nótos)	юг (jug)
