Episode	VII Season	VIII Season	XII Season	XIII Season
1	5 256 123 (2 March 2008)	4 295 811 (7 September 2008)	4 261 993 (5 September 2010)	4 286 482 (4 September 2011)
2	5 237 203 (9 March 2008)	4 481 064 (14 September 2008)	4 293 571 (12 September 2010)	4 081 186 (11 September 2011)
3	5 034 347 (16 March 2008)	4 699 663 (21 September 2008)	4 352 478 (19 September 2010)	3 960 975 (18 September 2011)
4	4 222 470 (23 March 2008)	4 439 893 (28 September 2008)	4 118 160 (26 September 2010)	4 120 271 (25 September 2011)
5	4 904 038 (30 March 2008)	5 029 136 (5 October 2008)	4 345 232 (3 October 2010)	3 802 996 (2 October 2011)
6	4 693 681 (6 April 2008)	4 420 153 (12 October 2008)	4 644 528 (10 October 2010)	3 539 262 (9 October 2011)
7	4 452 588 (13 April 2008)	5 082 535 (19 October 2008)	4 868 327 (17 October 2010)	3 824 196 (16 October 2011)
8	4 704 676 (20 April 2008)	4 739 194 (26 October 2008)	4 676 420 (24 October 2010)	4 120 223 (23 October 2011)
9	4 483 703 (27 April 2008)	4 780 743 (2 November 2008)	4 356 524 (31 October 2010)	4 181 987 (30 October 2011)
10	4 673 942 (4 May 2008)	4 481 183 (9 November 2008)	4 697 868 (7 November 2010)	3 990 285 (6 November 2011)
11	4 178 707 (11 May 2008)	4 969 114 (16 November 2008)	4 970 335 (14 November 2010)	4 226 253 (13 November 2011)
12	4 494 322 (18 May 2008)	5 005 415 (23 November 2008)	4 998 573 (21 November 2010)	4 574 627 (20 November 2011)
13	5 170 269 (25 May 2008)	5 352 000 (30 November 2008)	5 694 227 (28 November 2010)	4 709 919 (27 November 2011)
Average	4 731 236	4 752 337	4 625 858	4 094 982
