Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 4, 1988	Minnesota Vikings	W 13–10	1–0	Rich Stadium	76,783
2	September 11, 1988	Miami Dolphins	W 9–6	2–0	Rich Stadium	79,520
3	September 18, 1988	at New England Patriots	W 16–14	3–0	Sullivan Stadium	55,945
4	September 25, 1988	Pittsburgh Steelers	W 36–28	4–0	Rich Stadium	78,735
5	October 2, 1988	at Chicago Bears	L 24–3	4–1	Soldier Field	62,793
6	October 9, 1988	Indianapolis Colts	W 34–23	5–1	Rich Stadium	76,018
7	October 17, 1988	at New York Jets	W 37–14	6–1	The Meadowlands	70,218
8	October 23, 1988	New England Patriots	W 23–20	7–1	Rich Stadium	76,824
9	October 30, 1988	Green Bay Packers	W 28–0	8–1	Rich Stadium	79,176
10	November 6, 1988	at Seattle Seahawks	W 13–3	9–1	Kingdome	61,074
11	November 14, 1988	at Miami Dolphins	W 31–6	10–1	Joe Robbie Stadium	67,091
12	November 20, 1988	New York Jets	W 9–6 (OT)	11–1	Rich Stadium	78,389
13	November 27, 1988	at Cincinnati Bengals	L 35–21	11–2	Riverfront Stadium	58,672
14	December 4, 1988	at Tampa Bay Buccaneers	L 10–5	11–3	Tampa Stadium	49,498
15	December 11, 1988	Los Angeles Raiders	W 37–21	12–3	Rich Stadium	77,348
16	December 18, 1988	at Indianapolis Colts	L 17–14	12–4	Hoosier Dome	59,908
