Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1994 (67th)	The Awkward Age	Magareće godine	Nenad Dizdarević Category:Articles with hCards	Not Nominated
2001 (74th)	No Man's Land	Ničija zemlja	Danis Tanović Category:Articles with hCards	Won Academy Award
2003 (76th)	Fuse	Gori vatra	Pjer Žalica Category:Articles with hCards	Not Nominated
2004 (77th)	Days and Hours	Kod amidže Idriza	Pjer Žalica Category:Articles with hCards	Not Nominated
2005 (78th)	Totally Personal	Sasvim lično	Nedžad Begović Category:Articles with hCards	Not Nominated
2006 (79th)	Grbavica: The Land of My Dreams	Grbavica	Jasmila Žbanić Category:Articles with hCards	Not Nominated
2007 (80th)	It's Hard to be Nice	Teško je biti fin	Srđan Vuletić Category:Articles with hCards	Not Nominated
2008 (81st)	Snow	Snijeg	Aida Begić Category:Articles with hCards	Not Nominated
2009 (82nd)	Night Guards	Čuvari noći	Namik Kabil Category:Articles with hCards	Not Nominated
2010 (83rd)	Cirkus Columbia	Cirkus Columbia	Danis Tanović Category:Articles with hCards	Not Nominated
2011 (84th)	Belvedere	Belvedere	Ahmed Imamovic Category:Articles with hCards	Not Nominated
2012 (85th)	Children of Sarajevo	Djeca	Aida Begić Category:Articles with hCards	Not Nominated
2013 (86th)	An Episode in the Life of an Iron Picker	Epizoda u životu berača željeza	Danis Tanović Category:Articles with hCards	TBD
