Rider	Manufacturer	Laps	Time	Grid
Valentino Rossi	Yamaha	23	42:31.153	1
Casey Stoner	Ducati	23	+2.201	4
Dani Pedrosa	Honda	23	+4.867	2
Alex de Angelis	Honda	23	+6.313	10
Colin Edwards	Yamaha	23	+12.530	5
James Toseland	Yamaha	23	+13.806	8
Loris Capirossi	Suzuki	23	+14.447	3
Andrea Dovizioso	Honda	23	+15.319	13
Shinya Nakano	Honda	23	+15.327	9
Chris Vermeulen	Suzuki	23	+30.785	11
Sylvain Guintoli	Ducati	23	+39.621	17
Toni Elias	Ducati	23	+50.021	16
Nicky Hayden	Honda	23	+50.440	6
Tadayuki Okada	Honda	23	+58.849	15
Anthony West	Kawasaki	23	+1:00.736	19
Jorge Lorenzo	Yamaha	6	Accident	7
John Hopkins	Kawasaki	6	Accident	14
Randy de Puniet	Honda	5	Accident	12
Marco Melandri	Ducati	5	Accident	18
